"Total seconds","Self seconds","File size","File path"
9.899530,0.047650,13873,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\array"
8.290939,0.529566,166438,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\algorithm"
7.761373,0.078691,27574,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xmemory"
7.682682,0.293270,27686,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xmemory0"
2.691640,0.357635,101766,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xutility"
2.334006,0.143220,12074,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\utility"
1.875812,0.009254,1308,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cstdlib"
1.720592,0.193237,35559,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\limits"
1.560941,0.075664,19181,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\iterator"
1.502041,0.456450,51774,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\type_traits"
1.485277,0.134124,33667,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\istream"
1.351153,0.119663,30784,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\ostream"
1.231490,0.030421,9574,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\ios"
1.207579,0.059481,20941,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\yvals.h"
1.201069,0.219598,50568,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xlocnum"
1.100607,0.231124,98490,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\crtdefs.h"
1.045591,1.045591,27247,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xrefwrap"
1.044382,0.007667,1769,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cwchar"
1.036716,1.007826,77057,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\wchar.h"
0.981471,0.056807,17981,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\streambuf"
0.924663,0.068634,19771,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xiosbase"
0.852364,0.830204,213027,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\sal.h"
0.782817,0.300549,92168,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xlocale"
0.688744,0.091076,22463,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\iosfwd"
0.658978,0.650343,47697,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\stdlib.h"
0.612350,0.276343,59781,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\intrin.h"
0.513164,0.007295,1759,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cstdio"
