"Total seconds","Self seconds","File size","File path"
15.292775,0.731865,53141,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\future"
10.201447,1.760364,47724,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\functional"
7.370820,0.057180,20807,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xfunctional"
5.907011,0.242477,66170,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xstring"
5.664534,0.261421,27686,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xmemory0"
3.786879,0.492047,313098,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\ppltasks.h"
2.973022,0.459895,321920,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\ppl.h"
2.559867,0.348746,101766,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xutility"
2.211121,0.095065,12074,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\utility"
1.744579,0.203921,35559,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\limits"
1.406629,0.006332,1308,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cstdlib"
1.380759,0.492116,51774,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\type_traits"
1.211446,0.064770,19181,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\iterator"
1.146676,0.134191,33667,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\istream"
1.057002,1.057002,30889,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\tuple"
1.045131,0.008458,1769,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cwchar"
1.036674,1.005734,77057,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\wchar.h"
1.012485,0.135704,30784,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\ostream"
0.888643,0.888643,27247,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xrefwrap"
0.876781,0.031597,9574,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\ios"
0.845184,0.206756,50568,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xlocnum"
0.751988,0.047334,20941,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\yvals.h"
0.735297,0.102566,22463,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\iosfwd"
0.684053,0.202189,98490,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\crtdefs.h"
0.648309,0.640914,47697,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\stdlib.h"
0.638428,0.061852,17981,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\streambuf"
0.617045,0.262333,59781,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\intrin.h"
0.576576,0.083803,19771,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xiosbase"
0.564114,0.564114,166438,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\algorithm"
0.538238,0.008315,1759,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cstdio"
0.529923,0.529923,49367,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\stdio.h"
0.490970,0.300578,92168,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xlocale"
0.469273,0.447874,213027,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\sal.h"
0.459198,0.014998,3439,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\new"
0.444200,0.053265,13229,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\exception"
0.368841,0.288588,50403,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\memory"
0.368725,0.368725,249170,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\concrt.h"
