"Total seconds","Self seconds","File size","File path"
8.552949,0.133781,33667,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\istream"
8.419168,0.113343,30784,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\ostream"
8.305825,0.029554,9574,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\ios"
8.276271,0.217121,50568,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xlocnum"
5.539852,0.057928,17981,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\streambuf"
5.481924,0.065071,19771,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xiosbase"
5.344133,0.304395,92168,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xlocale"
4.244141,0.022962,6210,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\stdexcept"
3.956912,0.256269,66170,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xstring"
3.700643,0.258280,27686,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xmemory0"
2.017748,0.349773,101766,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xutility"
1.667975,0.091539,12074,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\utility"
1.371711,0.474642,51774,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\type_traits"
0.897070,0.897070,27247,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xrefwrap"
0.853604,0.007370,1759,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cstdio"
0.846235,0.822225,49367,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\stdio.h"
0.773593,0.001418,300,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\climits"
0.764533,0.047974,20941,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\yvals.h"
0.739280,0.193393,35559,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\limits"
0.695310,0.202296,98490,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\crtdefs.h"
0.648775,0.275962,59781,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\intrin.h"
0.622133,0.005286,1308,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cstdlib"
0.616847,0.616847,47697,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\stdlib.h"
0.594919,0.004021,1013,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cstring"
0.590898,0.590898,30364,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\string.h"
0.498685,0.007938,1769,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cwchar"
0.490747,0.486802,77057,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\wchar.h"
0.481387,0.458592,213027,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\sal.h"
0.320453,0.128899,84365,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\immintrin.h"
0.269968,0.009370,1980,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cmath"
0.264268,0.053296,13229,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\exception"
0.204725,0.114951,22463,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\iosfwd"
0.191554,0.004012,2302,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\wmmintrin.h"
0.187542,0.011147,3966,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\nmmintrin.h"
0.178410,0.040785,9144,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xlocinfo"
0.176395,0.022414,9531,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\smmintrin.h"
0.172998,0.172998,23918,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\math.h"
0.168288,0.161792,35427,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xstddef"
0.153982,0.009418,3394,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\tmmintrin.h"
0.144563,0.006166,2966,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\pmmintrin.h"
0.138397,0.071524,14912,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\emmintrin.h"
0.137624,0.032419,5820,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xlocinfo.h"
0.089774,0.089774,36605,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\crtdbg.h"
0.087600,0.049359,3765,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xtgmath.h"
0.087325,0.087325,19112,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\ctype.h"
0.070947,0.061017,18352,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\system_error"
0.066873,0.046021,18480,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xmmintrin.h"
0.042128,0.042128,13180,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\ammintrin.h"
0.040342,0.000878,295,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cfloat"
0.039464,0.036608,12936,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\float.h"
0.038240,0.038240,9053,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xtr1common"
0.033492,0.033492,10733,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\malloc.h"
0.024010,0.024010,3933,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\swprintf.inl"
0.022796,0.022796,13716,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\ConcurrencySal.h"
0.020988,0.020988,10828,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xatomic0.h"
0.020852,0.020852,6416,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\mmintrin.h"
