"Total seconds","Self seconds","File size","File path"
8.273890,0.132000,30784,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\ostream"
8.141890,0.028837,9574,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\ios"
8.113053,0.189986,50568,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xlocnum"
5.454740,0.064803,17981,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\streambuf"
5.389936,0.082889,19771,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xiosbase"
5.237976,0.290448,92168,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xlocale"
4.151236,0.017802,6210,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\stdexcept"
3.866386,0.229417,66170,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xstring"
3.636969,0.270145,27686,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xmemory0"
1.945896,0.331839,101766,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xutility"
1.614057,0.083249,12074,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\utility"
1.350138,0.473260,51774,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\type_traits"
0.876878,0.876878,27247,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xrefwrap"
0.826823,0.007906,1759,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cstdio"
0.818917,0.795591,49367,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\stdio.h"
0.753569,0.006426,300,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\climits"
0.740588,0.190827,35559,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\limits"
0.739215,0.047534,20941,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\yvals.h"
0.671111,0.211229,98490,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\crtdefs.h"
0.642128,0.279909,59781,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\intrin.h"
0.633924,0.005112,1308,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cstdlib"
0.628812,0.628812,47697,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\stdlib.h"
0.574827,0.003896,1013,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cstring"
0.570931,0.570931,30364,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\string.h"
