"Total seconds","Self seconds","File size","File path"
10.466244,0.570966,150144,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\regex"
7.485586,0.527624,166438,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\algorithm"
6.957962,0.081425,27574,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xmemory"
6.876536,0.252137,27686,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xmemory0"
2.397232,0.312964,101766,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xutility"
2.084268,0.076719,12074,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\utility"
1.724565,0.203355,35559,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\limits"
1.570699,0.062674,19181,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\iterator"
1.508025,0.126930,33667,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\istream"
1.381095,0.121578,30784,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\ostream"
1.376391,0.006026,1308,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cstdlib"
1.303482,0.473147,51774,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\type_traits"
1.259517,0.030205,9574,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\ios"
1.229312,0.225773,50568,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xlocnum"
1.058682,0.007522,1769,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cwchar"
1.051160,1.020840,77057,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\wchar.h"
1.003539,0.056318,17981,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\streambuf"
0.947221,0.069684,19771,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xiosbase"
0.830335,0.830335,27247,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xrefwrap"
0.807083,0.325580,92168,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xlocale"
0.739976,0.047965,20941,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\yvals.h"
0.704067,0.089925,22463,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\iosfwd"
0.671187,0.209599,98490,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\crtdefs.h"
0.640527,0.291529,59781,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\intrin.h"
0.630390,0.622747,47697,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\stdlib.h"
0.531765,0.031338,8012,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\locale"
0.526947,0.007329,1759,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cstdio"
0.519618,0.519618,49367,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\stdio.h"
0.466001,0.014845,3439,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\new"
0.451156,0.052064,13229,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\exception"
0.446583,0.424873,213027,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\sal.h"
0.353209,0.353209,30364,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\string.h"
0.307228,0.307228,79168,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\vector"
0.298675,0.121665,84365,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\immintrin.h"
0.286071,0.017750,6210,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\stdexcept"
0.268321,0.268321,66170,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xstring"
0.251077,0.008714,1980,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cmath"
0.220855,0.120251,28884,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xloctime"
0.177010,0.003746,2302,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\wmmintrin.h"
0.173263,0.010646,3966,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\nmmintrin.h"
0.172536,0.034035,9144,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xlocinfo"
0.162617,0.022708,9531,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\smmintrin.h"
0.162288,0.162288,23918,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\math.h"
0.158763,0.152121,35427,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xstddef"
0.139909,0.008938,3394,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\tmmintrin.h"
0.138501,0.033431,5820,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xlocinfo.h"
0.130971,0.006061,2966,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\pmmintrin.h"
0.124910,0.050513,14912,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\emmintrin.h"
0.122287,0.122287,26378,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\string"
0.100604,0.002890,786,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\ctime"
0.098996,0.098996,29405,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xlocmon"
0.097714,0.085989,11873,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\time.h"
0.088394,0.088394,19112,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\ctype.h"
0.083712,0.083712,36605,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\crtdbg.h"
0.080075,0.051153,3765,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xtgmath.h"
0.074397,0.055593,18480,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xmmintrin.h"
0.068736,0.059036,18352,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\system_error"
0.046644,0.046644,14684,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xlocbuf"
0.045735,0.000941,295,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cfloat"
0.044794,0.041911,12936,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\float.h"
0.040121,0.040121,13180,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\ammintrin.h"
0.036595,0.036595,10733,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\malloc.h"
0.028922,0.028922,9053,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xtr1common"
0.026888,0.026888,3933,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\swprintf.inl"
0.021709,0.021709,13716,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\ConcurrencySal.h"
0.019683,0.019683,10828,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xatomic0.h"
0.018803,0.018803,6416,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\mmintrin.h"
0.017886,0.017886,7679,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xkeycheck.h"
0.016677,0.016677,4112,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\locale.h"
0.015005,0.015005,3777,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\vadefs.h"
0.014327,0.014327,5669,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\typeinfo"
0.011725,0.011725,3697,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\time.inl"
0.011645,0.011645,3981,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xlocmes"
0.010203,0.010203,3802,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\setjmp.h"
0.009700,0.001381,533,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cerrno"
0.009288,0.009288,2663,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\eh.h"
0.008319,0.008319,3453,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\errno.h"
0.007643,0.007643,4350,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\limits.h"
0.006642,0.002304,714,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cstddef"
0.006361,0.006361,2380,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\ymath.h"
0.005492,0.005492,2426,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xdebug"
0.004337,0.004337,1662,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\stddef.h"
0.003483,0.003483,1013,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cstring"
0.003432,0.003432,1348,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\wtime.inl"
0.003077,0.003077,1358,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xfacet"
0.002937,0.002937,1519,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\use_ansi.h"
0.002883,0.002883,1823,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\crtwrn.h"
0.001718,0.001718,866,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\share.h"
0.000592,0.000592,300,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\climits"
