"Total seconds","Self seconds","File size","File path"
17.630001,0.383969,52572,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\filesystem"
15.616378,0.291354,39486,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\fstream"
15.325024,0.315473,34401,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\istream"
15.009551,0.273541,28655,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\ostream"
14.736010,0.070331,9614,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\ios"
14.665680,0.491448,51031,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xlocnum"
8.962110,0.136841,18250,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\streambuf"
8.825268,0.153045,19283,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xiosbase"
8.501947,0.671992,92754,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xlocale"
6.591351,0.037499,6210,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdexcept"
6.163855,0.615950,75778,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xstring"
5.547904,0.234497,26045,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xmemory0"
1.979970,0.785246,95857,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xutility"
1.735668,0.459274,34433,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\limits"
1.648066,0.002978,300,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\climits"
1.629583,0.108294,23751,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\yvals.h"
1.541702,0.013317,1901,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstdio"
1.530941,0.605073,62813,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\intrin.h"
1.528385,1.470272,53217,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdio.h"
1.471934,0.425707,108594,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\crtdefs.h"
1.194724,0.113257,12953,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\utility"
1.138636,0.020984,1920,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cwchar"
1.128836,0.038688,4333,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cmath"
1.117653,1.101967,81194,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\wchar.h"
1.021927,0.970685,214619,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\sal.h"
0.893518,0.007787,1413,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstdlib"
0.885732,0.885732,53607,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdlib.h"
0.811097,0.008259,1013,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstring"
0.802837,0.802837,32391,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\string.h"
0.796824,0.337958,88486,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\immintrin.h"
0.789803,0.789803,44558,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\math.h"
0.642732,0.359774,42381,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\type_traits"
0.614049,0.420089,54385,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\list"
0.458865,0.009169,2400,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\wmmintrin.h"
0.449696,0.025777,4090,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\nmmintrin.h"
0.439503,0.414002,53101,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\memory"
0.438734,0.231874,23774,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\iosfwd"
0.423920,0.080553,9655,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\smmintrin.h"
0.389998,0.124504,13054,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\exception"
0.373737,0.073540,9122,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xlocinfo"
0.343367,0.027104,3533,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\tmmintrin.h"
