"Total seconds","Self seconds","File size","File path"
14.680932,0.317823,44059,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\forward_list"
13.748414,0.194420,28214,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xmemory"
13.553994,0.161717,26045,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xmemory0"
4.414250,0.421796,34433,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\limits"
3.419415,0.016613,1413,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstdlib"
3.012286,0.591337,95857,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xutility"
2.420949,0.094849,12953,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\utility"
2.278391,0.019513,1920,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cwchar"
2.258878,2.170498,81194,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\wchar.h"
1.744644,0.140106,23751,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\yvals.h"
1.700346,0.214472,23774,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\iosfwd"
1.658159,1.642189,53607,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdlib.h"
1.551473,0.534722,108594,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\crtdefs.h"
1.441971,0.060080,4333,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cmath"
1.417032,0.664580,62813,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\intrin.h"
1.267051,0.021381,1901,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstdio"
1.245670,1.245670,53217,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdio.h"
1.105601,0.034855,3439,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\new"
1.070746,0.127201,13054,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\exception"
1.024943,1.024943,44558,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\math.h"
0.987128,0.929533,214619,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\sal.h"
0.843109,0.843109,32391,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\string.h"
0.634452,0.301100,88486,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\immintrin.h"
0.625754,0.335398,42381,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\type_traits"
0.614695,0.039295,6210,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdexcept"
0.575400,0.575400,75778,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xstring"
0.356949,0.288332,7283,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xtgmath.h"
0.333351,0.007781,2400,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\wmmintrin.h"
0.325570,0.024879,4090,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\nmmintrin.h"
0.300691,0.049301,9655,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\smmintrin.h"
0.290356,0.290356,19160,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xrefwrap"
0.251391,0.020730,3533,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\tmmintrin.h"
0.230660,0.013785,3051,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\pmmintrin.h"
0.216875,0.100143,15010,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\emmintrin.h"
0.209684,0.209684,38669,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\crtdbg.h"
0.132984,0.103775,14668,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xstddef"
0.116732,0.079122,18777,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xmmintrin.h"
0.107399,0.002363,295,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cfloat"
0.105035,0.096882,14163,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\float.h"
0.098474,0.098474,13334,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\ammintrin.h"
0.078801,0.078801,11706,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\malloc.h"
0.073522,0.073522,4368,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\swprintf.inl"
0.068617,0.068617,9177,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xtr1common"
0.057595,0.057595,15721,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\ConcurrencySal.h"
0.044930,0.044930,8078,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xkeycheck.h"
0.037610,0.037610,6477,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\mmintrin.h"
0.030161,0.030161,3659,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\ymath.h"
0.029623,0.029623,4377,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\vadefs.h"
0.023692,0.023692,6223,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xatomic0.h"
0.021635,0.021635,2805,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\eh.h"
0.019526,0.019526,4217,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\setjmp.h"
0.015970,0.015970,3544,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\limits.h"
0.014990,0.005219,713,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstddef"
0.014858,0.014858,1568,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\wtime.inl"
0.014219,0.014219,1851,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\initializer_list"
0.009771,0.009771,1867,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stddef.h"
0.009139,0.009139,1013,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstring"
0.008153,0.008153,1824,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\crtwrn.h"
0.008135,0.008135,1340,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\use_ansi.h"
0.001549,0.001549,300,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\climits"
