"Total seconds","Self seconds","File size","File path"
14.492452,0.061494,13768,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\map"
14.325887,0.340560,68522,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xtree"
13.531436,0.133850,28214,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xmemory"
13.397585,0.150577,26045,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xmemory0"
4.927885,0.418086,34433,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\limits"
3.523816,0.015487,1413,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstdlib"
2.842356,0.567745,95857,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xutility"
2.795395,0.019068,1920,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cwchar"
2.776327,2.674533,81194,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\wchar.h"
2.274610,0.088266,12953,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\utility"
1.817475,0.139588,23751,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\yvals.h"
1.690855,1.674699,53607,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdlib.h"
1.625182,0.539366,108594,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\crtdefs.h"
1.586132,0.225416,23774,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\iosfwd"
1.429860,0.058190,4333,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cmath"
1.146704,0.018937,1901,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstdio"
1.127766,1.127766,53217,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdio.h"
1.057089,0.998694,214619,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\sal.h"
0.996882,0.450820,62813,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\intrin.h"
0.993147,0.993147,44558,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\math.h"
0.935158,0.029814,3439,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\new"
0.905344,0.102964,13054,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\exception"
0.705698,0.705698,32391,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\string.h"
0.600212,0.326580,42381,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\type_traits"
0.461450,0.197964,88486,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\immintrin.h"
0.453891,0.027199,6210,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdexcept"
0.426692,0.426692,75778,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xstring"
