"Total seconds","Self seconds","File size","File path"
11.154372,0.098089,18250,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\streambuf"
11.056283,0.113554,19283,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xiosbase"
10.824527,0.488926,92754,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xlocale"
7.810268,0.028842,6210,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdexcept"
6.338971,0.426682,75778,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xstring"
5.912289,0.143807,26045,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xmemory0"
2.686795,0.267604,34433,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\limits"
2.104506,0.479828,95857,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xutility"
1.624678,0.073526,12953,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\utility"
1.442455,0.084450,13054,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\exception"
1.328751,0.012595,1920,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cwchar"
1.316156,1.252033,81194,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\wchar.h"
1.311535,0.002599,300,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\climits"
1.298564,0.094365,23751,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\yvals.h"
1.281998,0.073298,14668,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xstddef"
1.164893,0.369962,108594,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\crtdefs.h"
1.139517,0.161133,23774,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\iosfwd"
1.052839,1.052839,53607,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdlib.h"
0.999473,0.035693,4333,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cmath"
0.923429,0.390672,62813,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\intrin.h"
0.882748,0.006320,1013,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstring"
0.876428,0.876428,32391,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\string.h"
0.836259,0.013014,1901,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstdio"
0.823245,0.823245,53217,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdio.h"
0.774297,0.734865,214619,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\sal.h"
