"Total seconds","Self seconds","File size","File path"
14.822483,0.144284,17893,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\system_error"
11.123556,0.040362,6210,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdexcept"
9.327002,0.602283,75778,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xstring"
8.724719,0.244930,26045,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xmemory0"
3.855447,0.431316,34433,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\limits"
3.115781,0.691133,95857,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xutility"
2.424648,0.119424,12953,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\utility"
1.980183,0.020141,1920,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cwchar"
1.960042,1.852957,81194,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\wchar.h"
1.871657,0.004693,533,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cerrno"
1.839036,0.135863,23751,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\yvals.h"
1.756192,0.121067,13054,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\exception"
1.700735,0.228353,23774,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\iosfwd"
1.682985,0.012367,1413,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstdlib"
1.670618,1.651549,53607,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdlib.h"
1.649492,0.530724,108594,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\crtdefs.h"
1.443233,0.649862,62813,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\intrin.h"
1.358082,1.358082,32391,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\string.h"
1.313607,0.040056,4333,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cmath"
1.261765,0.017293,1901,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstdio"
1.244472,1.244472,53217,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdio.h"
1.089117,1.032283,214619,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\sal.h"
0.984559,0.984559,44558,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\math.h"
0.680018,0.281402,88486,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\immintrin.h"
0.604489,0.342727,42381,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\type_traits"
0.398616,0.008640,2400,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\wmmintrin.h"
0.389977,0.024314,4090,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\nmmintrin.h"
