"Total seconds","Self seconds","File size","File path"
14.701481,0.630513,82235,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\vector"
13.416164,0.188509,28214,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xmemory"
13.227655,0.213668,26045,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xmemory0"
4.023952,0.422956,34433,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\limits"
3.338546,0.014910,1413,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstdlib"
3.107803,0.687524,95857,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xutility"
2.420278,0.100238,12953,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\utility"
1.954247,0.019114,1920,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cwchar"
1.935132,1.857464,81194,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\wchar.h"
1.842861,0.120467,23751,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\yvals.h"
1.711492,0.221926,23774,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\iosfwd"
1.668914,0.549083,108594,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\crtdefs.h"
1.480776,1.466953,53607,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdlib.h"
1.430967,0.611600,62813,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\intrin.h"
1.376145,0.047637,4333,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cmath"
1.279896,0.019337,1901,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstdio"
1.260559,1.260559,53217,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdio.h"
1.083214,0.034014,3439,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\new"
1.078628,1.021189,214619,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\sal.h"
1.049200,0.117183,13054,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\exception"
0.979918,0.979918,44558,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\math.h"
0.832664,0.832664,32391,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\string.h"
0.696974,0.313588,88486,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\immintrin.h"
0.654805,0.038961,6210,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdexcept"
0.615844,0.615844,75778,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xstring"
0.608549,0.352270,42381,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\type_traits"
0.383386,0.008845,2400,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\wmmintrin.h"
0.374541,0.025236,4090,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\nmmintrin.h"
0.349304,0.052781,9655,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\smmintrin.h"
0.348590,0.282587,7283,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xtgmath.h"
0.296523,0.021590,3533,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\tmmintrin.h"
0.274933,0.014364,3051,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\pmmintrin.h"
0.260569,0.110860,15010,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\emmintrin.h"
0.256279,0.256279,19160,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xrefwrap"
0.201285,0.201285,38669,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\crtdbg.h"
0.149709,0.104315,18777,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xmmintrin.h"
