"Total seconds","Self seconds","File size","File path"
0.760085,0.002066,376,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\cstdarg"
0.756445,0.074139,44474,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\yvals.h"
0.659362,0.004444,1369,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\crtdefs.h"
0.462475,0.020834,8365,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\vcruntime.h"
0.426922,0.403239,213817,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\sal.h"
0.192444,0.192444,121991,"C:\Program Files (x86)\Windows Kits\10\Include\10.0.16299.0\ucrt\corecrt.h"
0.023683,0.023683,15711,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\concurrencysal.h"
0.019901,0.019901,8454,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\xkeycheck.h"
0.014719,0.014719,5720,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\vadefs.h"
0.003044,0.003044,1340,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\use_ansi.h"
0.001573,0.001573,417,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\stdarg.h"
