"Total seconds","Self seconds","File size","File path"
0.850465,0.005102,1185,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\cwctype"
0.777452,0.070940,44474,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\yvals.h"
0.684250,0.004807,1369,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\crtdefs.h"
0.477788,0.020421,8365,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\vcruntime.h"
0.442380,0.419636,213817,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\sal.h"
0.201655,0.201655,121991,"C:\Program Files (x86)\Windows Kits\10\Include\10.0.16299.0\ucrt\corecrt.h"
0.067911,0.001877,482,"C:\Program Files (x86)\Windows Kits\10\Include\10.0.16299.0\ucrt\wctype.h"
0.066034,0.066034,10420,"C:\Program Files (x86)\Windows Kits\10\Include\10.0.16299.0\ucrt\corecrt_wctype.h"
0.022744,0.022744,15711,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\concurrencysal.h"
0.019302,0.019302,8454,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\xkeycheck.h"
0.014987,0.014987,5720,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\vadefs.h"
0.002960,0.002960,1340,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\use_ansi.h"
