"Total seconds","Self seconds","File size","File path"
4.608354,0.117608,32101,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\complex"
3.773411,0.056568,16681,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\sstream"
3.716842,0.068343,21940,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\string"
3.648499,0.134953,32764,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\istream"
3.513547,0.118785,29066,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\ostream"
3.394762,0.028452,8432,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\ios"
3.366310,0.226165,51309,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocnum"
2.450634,0.067281,16486,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\streambuf"
2.383353,0.071447,19927,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xiosbase"
2.309667,0.293299,78264,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocale"
1.481379,0.020218,6473,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdexcept"
1.372819,0.244721,67902,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xstring"
1.128098,0.025512,7306,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xmemory"
1.090875,0.468908,128561,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xutility"
0.542129,0.028713,7226,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\utility"
0.513416,0.112697,24922,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\iosfwd"
0.500804,0.005987,2316,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\ymath.h"
0.494817,0.048725,21523,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\yvals.h"
0.457299,0.452824,75914,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\wchar.h"
0.441334,0.186506,97323,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdefs.h"
0.345110,0.003384,1053,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstdlib"
0.341726,0.335598,46356,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdlib.h"
0.335613,0.005131,1643,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstdio"
0.330482,0.299997,48480,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdio.h"
0.302813,0.005470,1607,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cwchar"
0.278639,0.028631,7951,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocinfo"
0.250008,0.019941,4602,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocinfo.h"
0.243630,0.243630,119828,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\sal.h"
0.231974,0.003134,951,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstring"
0.228839,0.228839,27336,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\string.h"
0.177743,0.177743,38655,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdbg.h"
0.112810,0.112810,27305,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xcomplex"
0.103312,0.004721,1563,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cmath"
0.098591,0.098591,23680,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\math.h"
0.088342,0.032028,10504,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\exception"
0.059537,0.059537,19373,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\ctype.h"
0.032174,0.032174,10397,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\malloc.h"
0.030485,0.021324,3913,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\swprintf.inl"
0.020359,0.020359,4032,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\vadefs.h"
0.016504,0.010394,2726,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xstddef"
0.013968,0.013968,4511,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\limits.h"
0.013615,0.013615,5157,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\typeinfo"
0.011711,0.011711,3332,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\new"
0.010762,0.010762,4731,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xdebug"
0.010574,0.010574,3722,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\locale.h"
0.008787,0.000948,336,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\climits"
0.007636,0.007636,2989,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\eh.h"
0.006110,0.001697,592,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstddef"
0.004759,0.004759,3982,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\use_ansi.h"
0.004474,0.004474,1381,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\wtime.inl"
0.004413,0.004413,1607,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stddef.h"
0.002239,0.002239,899,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\share.h"
0.000409,0.000409,290,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\ccomplex"
