"Total seconds","Self seconds","File size","File path"
1.381701,0.061976,10504,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\exception"
1.223428,0.022783,2726,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xstddef"
1.186199,0.118933,21523,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\yvals.h"
1.054778,0.458436,97323,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdefs.h"
0.570494,0.570494,119828,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\sal.h"
0.080065,0.080065,10397,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\malloc.h"
0.025849,0.025849,4032,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\vadefs.h"
0.016233,0.016233,2989,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\eh.h"
0.014446,0.003589,592,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstddef"
0.012488,0.012488,3982,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\use_ansi.h"
0.010857,0.010857,1607,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stddef.h"
