"Total seconds","Self seconds","File size","File path"
6.644807,0.039829,8432,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\ios"
6.604978,0.305082,51309,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocnum"
3.787322,0.079277,16486,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\streambuf"
3.708045,0.094393,19927,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xiosbase"
3.610572,0.387181,78264,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocale"
2.331387,0.026614,6473,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdexcept"
2.157301,0.331981,67902,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xstring"
1.825321,0.035034,7306,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xmemory"
1.770433,0.673010,128561,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xutility"
1.170489,0.003253,336,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\climits"
1.152054,0.103128,21523,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\yvals.h"
1.038913,0.429005,97323,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdefs.h"
0.965552,0.045050,7226,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\utility"
0.920502,0.187511,24922,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\iosfwd"
0.776904,0.769141,75914,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\wchar.h"
0.689455,0.009845,1643,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstdio"
0.679610,0.618443,48480,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdio.h"
0.652629,0.006839,1053,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstdlib"
0.645790,0.633323,46356,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdlib.h"
0.579149,0.579149,119828,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\sal.h"
0.550586,0.009813,1607,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cwchar"
0.452802,0.005629,951,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstring"
0.447174,0.447174,27336,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\string.h"
0.406898,0.039162,7951,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocinfo"
0.367736,0.029987,4602,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocinfo.h"
0.314275,0.314275,38655,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdbg.h"
0.147471,0.053595,10504,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\exception"
0.086119,0.086119,19373,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\ctype.h"
0.061167,0.042440,3913,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\swprintf.inl"
0.050282,0.050282,10397,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\malloc.h"
0.049487,0.049487,4032,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\vadefs.h"
0.028835,0.018008,2726,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xstddef"
0.027648,0.027648,4511,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\limits.h"
0.019854,0.019854,3332,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\new"
0.017490,0.017490,5157,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\typeinfo"
0.015500,0.015500,3722,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\locale.h"
0.014814,0.014814,4731,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xdebug"
0.014759,0.014759,2989,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\eh.h"
0.010827,0.003062,592,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstddef"
0.010013,0.010013,3982,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\use_ansi.h"
0.007765,0.007765,1607,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stddef.h"
0.007762,0.007762,1381,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\wtime.inl"
0.003081,0.003081,899,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\share.h"
