"Total seconds","Self seconds","File size","File path"
2.439307,0.242211,29349,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\limits"
0.965172,0.012754,2316,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\ymath.h"
0.952418,0.098032,21523,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\yvals.h"
0.928185,0.007942,1607,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cwchar"
0.920244,0.861545,75914,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\wchar.h"
0.842165,0.360069,97323,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdefs.h"
0.461593,0.461593,119828,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\sal.h"
0.199510,0.009636,1563,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cmath"
0.189873,0.189873,23680,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\math.h"
0.062709,0.001803,298,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cfloat"
0.060906,0.052338,13106,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\float.h"
0.052420,0.035834,3913,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\swprintf.inl"
0.037090,0.037090,4032,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\vadefs.h"
0.025040,0.014550,2726,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xstddef"
0.016480,0.001841,336,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\climits"
0.014639,0.014639,4511,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\limits.h"
0.012221,0.012221,3982,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\use_ansi.h"
0.010490,0.002471,592,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstddef"
0.008569,0.008569,2447,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtwrn.h"
0.008019,0.008019,1607,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stddef.h"
0.006279,0.006279,1381,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\wtime.inl"
