"Total seconds","Self seconds","File size","File path"
5.824450,0.066923,8204,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\locale"
5.456945,0.070586,21940,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\string"
5.386359,0.128274,32764,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\istream"
5.258085,0.131819,29066,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\ostream"
5.126266,0.030381,8432,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\ios"
5.095885,0.231820,51309,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocnum"
3.273850,0.068423,16486,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\streambuf"
3.205427,0.070998,19927,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xiosbase"
3.131997,0.318144,78264,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocale"
2.145144,0.027262,6473,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdexcept"
2.006018,0.350215,67902,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xstring"
1.655803,0.038643,7306,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xmemory"
1.601727,0.726595,128561,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xutility"
0.752720,0.042973,7226,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\utility"
0.749388,0.002168,336,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\climits"
0.735965,0.071898,21523,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\yvals.h"
0.709747,0.152675,24922,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\iosfwd"
0.657024,0.275789,97323,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdefs.h"
0.592980,0.586770,75914,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\wchar.h"
0.459446,0.006474,1643,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstdio"
0.452971,0.412321,48480,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdio.h"
0.412862,0.007829,1607,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cwchar"
0.381381,0.004209,1053,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstdlib"
0.377172,0.369480,46356,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdlib.h"
0.365497,0.365497,119828,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\sal.h"
0.344696,0.033603,7951,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocinfo"
0.311093,0.024141,4602,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocinfo.h"
0.291148,0.003625,951,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstring"
0.287523,0.287523,27336,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\string.h"
0.266622,0.266622,38655,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdbg.h"
0.186939,0.121006,21501,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xloctime"
0.111864,0.041497,10504,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\exception"
0.101483,0.101483,28507,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocmon"
0.083561,0.083561,19373,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\ctype.h"
0.065933,0.002283,758,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\ctime"
0.063650,0.051746,11764,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\time.h"
0.040650,0.028234,3913,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\swprintf.inl"
