"Total seconds","Self seconds","File size","File path"
3.581851,0.207221,50164,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\memory"
2.988742,0.063401,14519,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\iterator"
2.925340,0.450630,128561,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xutility"
1.412491,0.027363,7226,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\utility"
1.385128,0.108635,24922,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\iosfwd"
0.984152,0.002776,336,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\climits"
0.965371,0.087047,21523,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\yvals.h"
0.869704,0.345530,97323,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdefs.h"
0.502063,0.502063,119828,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\sal.h"
0.492341,0.007420,1643,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstdio"
0.484921,0.441190,48480,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdio.h"
0.385324,0.005569,1607,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cwchar"
0.379755,0.375219,75914,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\wchar.h"
0.372614,0.024399,7306,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xmemory"
0.279967,0.003570,951,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstring"
0.276398,0.276398,27336,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\string.h"
0.266966,0.003804,1053,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstdlib"
0.263163,0.256560,46356,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdlib.h"
0.178979,0.178979,38655,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdbg.h"
0.069545,0.030996,10504,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\exception"
0.043731,0.029036,3913,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\swprintf.inl"
0.036805,0.036805,4032,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\vadefs.h"
0.030792,0.030792,10397,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\malloc.h"
0.022609,0.022609,4511,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\limits.h"
0.017948,0.010693,2726,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xstddef"
0.013274,0.013274,5157,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\typeinfo"
0.011703,0.011703,3332,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\new"
0.008620,0.008620,3982,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\use_ansi.h"
0.007758,0.007758,2989,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\eh.h"
0.007256,0.001969,592,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstddef"
0.005287,0.005287,1607,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stddef.h"
0.004536,0.004536,1381,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\wtime.inl"
