"Total seconds","Self seconds","File size","File path"
34.686018,0.026839,6530,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\queue"
28.388284,0.206406,35116,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\functional"
14.425412,0.085444,1043,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xfwrap"
14.339968,3.725227,8154,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xfwrap1"
13.823150,0.056301,11955,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xrefwrap"
13.623626,0.047863,3545,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xawrap"
13.575763,0.190775,2348,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xawrap0"
13.384988,0.385473,2010,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xawrap1"
12.999515,8.642025,4583,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xawrap2"
5.065278,1.705846,195306,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\algorithm"
3.359432,0.441942,50164,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\memory"
3.216458,3.216458,13792,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxbind1"
2.889514,2.889514,1122,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxbind0"
2.339971,2.339971,12751,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxresult"
2.118845,0.093849,14519,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\iterator"
2.024996,0.397828,128561,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xutility"
1.593467,1.593467,9170,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxfunction"
1.467977,1.467977,575,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxcallwrap"
1.213145,1.213145,7964,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxmem_fn"
1.200366,1.200366,6744,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxrefwrap"
1.045291,0.022784,7226,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\utility"
1.022507,0.093862,24922,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\iosfwd"
0.952832,0.382854,39243,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\deque"
0.768219,0.053967,7306,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xmemory"
0.569978,0.040253,6473,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdexcept"
0.553025,0.553025,2346,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxpmfcaller"
0.545493,0.007327,1053,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstdlib"
0.538166,0.524892,46356,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdlib.h"
0.529724,0.529724,67902,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xstring"
0.515720,0.001684,336,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\climits"
0.506289,0.050537,21523,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\yvals.h"
0.450799,0.195530,97323,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdefs.h"
0.318508,0.004778,1643,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstdio"
0.313730,0.284594,48480,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdio.h"
0.307281,0.004767,1607,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cwchar"
