"Total seconds","Self seconds","File size","File path"
28.918745,0.023369,8786,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\set"
28.895376,0.130641,44205,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xtree"
28.500704,0.251623,35116,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\functional"
13.670901,0.076114,1043,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xfwrap"
13.594787,3.123953,8154,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xfwrap1"
11.155579,0.036692,3545,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xawrap"
11.118887,0.146723,2348,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xawrap0"
10.972164,0.310591,2010,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xawrap1"
10.661573,6.650327,4583,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xawrap2"
10.315506,0.046649,11955,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xrefwrap"
4.628064,4.628064,13792,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxbind1"
3.144679,3.144679,1122,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxbind0"
2.352362,2.352362,12751,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxresult"
2.222504,0.297548,67902,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xstring"
1.924956,0.021753,7306,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xmemory"
1.806233,0.659873,128561,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xutility"
1.070530,0.023686,7226,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\utility"
1.053610,0.004764,1053,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstdlib"
1.046844,0.093041,24922,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\iosfwd"
1.022360,1.022360,9170,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxfunction"
0.893103,0.893103,6744,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxrefwrap"
0.866568,0.866568,575,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxcallwrap"
0.708961,0.061204,21523,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\yvals.h"
0.641595,0.266187,97323,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdefs.h"
0.559187,0.559187,7964,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxmem_fn"
0.496437,0.496437,2346,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxpmfcaller"
