"Total seconds","Self seconds","File size","File path"
4.145329,0.052577,16681,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\sstream"
4.092753,0.065049,21940,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\string"
4.027704,0.119935,32764,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\istream"
3.907769,0.117024,29066,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\ostream"
3.790745,0.035366,8432,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\ios"
3.755378,0.220493,51309,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocnum"
2.370721,0.057957,16486,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\streambuf"
2.312765,0.068671,19927,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xiosbase"
2.241985,0.287079,78264,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocale"
1.432959,0.018329,6473,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdexcept"
1.335840,0.252559,67902,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xstring"
1.083282,0.024570,7306,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xmemory"
1.048040,0.452121,128561,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xutility"
0.548708,0.001770,336,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\climits"
0.538666,0.050817,21523,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\yvals.h"
0.518707,0.025943,7226,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\utility"
0.492764,0.101760,24922,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\iosfwd"
0.483044,0.206249,97323,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdefs.h"
0.449928,0.445562,75914,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\wchar.h"
0.314524,0.004964,1643,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstdio"
0.309561,0.281829,48480,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdio.h"
0.300932,0.003302,1053,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstdlib"
0.297630,0.291771,46356,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdlib.h"
0.297409,0.005282,1607,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cwchar"
0.281603,0.028904,7951,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocinfo"
0.264391,0.264391,119828,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\sal.h"
0.252699,0.021102,4602,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocinfo.h"
0.216870,0.002695,951,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstring"
0.214175,0.214175,27336,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\string.h"
0.170807,0.170807,38655,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdbg.h"
0.078790,0.028915,10504,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\exception"
0.062787,0.062787,19373,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\ctype.h"
0.027732,0.019227,3913,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\swprintf.inl"
0.027384,0.027384,10397,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\malloc.h"
0.020908,0.020908,4032,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\vadefs.h"
0.014887,0.009011,2726,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xstddef"
0.014130,0.014130,4511,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\limits.h"
0.012723,0.012723,5157,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\typeinfo"
0.011009,0.011009,3722,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\locale.h"
0.010752,0.010752,4731,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xdebug"
0.010671,0.010671,3332,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\new"
0.007604,0.007604,2989,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\eh.h"
0.005876,0.001570,592,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstddef"
0.004805,0.004805,3982,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\use_ansi.h"
0.004366,0.004366,1381,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\wtime.inl"
0.004306,0.004306,1607,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stddef.h"
0.002108,0.002108,899,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\share.h"
