"Total seconds","Self seconds","File size","File path"
3.226769,0.025387,3845,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stack"
3.201382,0.237728,39243,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\deque"
2.709710,0.186500,50164,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\memory"
2.169125,0.060265,14519,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\iterator"
2.108860,0.481828,128561,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xutility"
1.058634,0.023153,7226,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\utility"
1.035482,0.089405,24922,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\iosfwd"
0.500553,0.001406,336,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\climits"
0.491543,0.047849,21523,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\yvals.h"
0.439016,0.187023,97323,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdefs.h"
0.341147,0.023364,7306,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xmemory"
0.319569,0.004902,1643,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstdio"
0.314667,0.285690,48480,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdio.h"
0.309546,0.004968,1607,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cwchar"
0.304578,0.300994,75914,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\wchar.h"
0.253944,0.018653,6473,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdexcept"
0.241395,0.241395,119828,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\sal.h"
0.240945,0.003353,1053,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstdlib"
0.237592,0.231227,46356,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdlib.h"
0.235291,0.235291,67902,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xstring"
0.218217,0.002688,951,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstring"
0.215529,0.215529,27336,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\string.h"
0.150634,0.150634,38655,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdbg.h"
0.065867,0.027061,10504,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\exception"
0.031962,0.031962,10397,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\malloc.h"
0.028977,0.020224,3913,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\swprintf.inl"
0.019351,0.019351,4032,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\vadefs.h"
0.015956,0.009569,2726,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xstddef"
0.013970,0.013970,4511,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\limits.h"
0.012937,0.012937,5157,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\typeinfo"
0.010972,0.010972,3332,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\new"
0.006843,0.006843,2989,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\eh.h"
0.006387,0.001757,592,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstddef"
0.004678,0.004678,3982,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\use_ansi.h"
0.004630,0.004630,1607,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stddef.h"
0.003584,0.003584,1381,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\wtime.inl"
