"Total seconds","Self seconds","File size","File path"
8.027284,0.087964,21940,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\string"
7.939320,0.174338,32764,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\istream"
7.764983,0.204589,29066,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\ostream"
7.560393,0.045650,8432,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\ios"
7.514743,0.367503,51309,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocnum"
4.947636,0.101817,16486,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\streambuf"
4.845819,0.134357,19927,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xiosbase"
4.707477,0.542520,78264,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocale"
3.032369,0.042045,6473,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdexcept"
2.819961,0.527434,67902,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xstring"
2.292526,0.053305,7306,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xmemory"
2.215481,1.004092,128561,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xutility"
1.064404,0.055807,7226,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\utility"
1.008596,0.208806,24922,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\iosfwd"
0.921854,0.913527,75914,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\wchar.h"
0.913242,0.002292,336,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\climits"
0.893536,0.108204,21523,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\yvals.h"
0.774093,0.429978,97323,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdefs.h"
0.677861,0.011180,1643,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstdio"
0.666681,0.611128,48480,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdio.h"
0.612412,0.011265,1607,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cwchar"
0.608501,0.006911,1053,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstdlib"
0.601590,0.590322,46356,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdlib.h"
0.584433,0.060264,7951,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocinfo"
0.524169,0.045566,4602,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocinfo.h"
0.485471,0.006192,951,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstring"
0.479278,0.479278,27336,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\string.h"
0.334363,0.334363,38655,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdbg.h"
0.318134,0.318134,119828,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\sal.h"
0.170363,0.062538,10504,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\exception"
0.134297,0.134297,19373,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\ctype.h"
0.059431,0.059431,10397,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\malloc.h"
0.055553,0.038426,3913,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\swprintf.inl"
0.043109,0.043109,4032,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\vadefs.h"
0.040193,0.040193,5157,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\typeinfo"
0.033043,0.021012,2726,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xstddef"
0.028681,0.028681,4511,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\limits.h"
0.023740,0.023740,3332,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\new"
0.023599,0.023599,3722,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\locale.h"
0.022491,0.022491,4731,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xdebug"
0.015351,0.015351,2989,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\eh.h"
0.012031,0.003486,592,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstddef"
0.011239,0.011239,3982,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\use_ansi.h"
0.008545,0.008545,1607,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stddef.h"
0.008327,0.008327,1381,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\wtime.inl"
0.003984,0.003984,899,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\share.h"
