"Total seconds","Self seconds","File size","File path"
31.062157,0.041411,11896,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\unordered_set"
31.020746,0.119055,26764,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xhash"
28.769769,0.171986,35116,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\functional"
14.676754,0.090543,1043,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xfwrap"
14.586211,3.869435,8154,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xfwrap1"
13.455691,0.060052,11955,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xrefwrap"
12.253151,0.044562,3545,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xawrap"
12.208589,0.181990,2348,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xawrap0"
12.026599,0.354912,2010,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xawrap1"
11.671687,7.730575,4583,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xawrap2"
4.699739,4.699739,13792,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxbind1"
2.615569,2.615569,1122,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxbind0"
1.677114,1.677114,12751,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxresult"
1.325543,1.325543,575,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxcallwrap"
1.303676,0.224927,67902,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xstring"
1.091124,1.091124,6744,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxrefwrap"
1.078749,0.023811,7306,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xmemory"
1.050759,1.050759,9170,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxfunction"
0.953638,0.416144,128561,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xutility"
0.802919,0.802919,2346,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxpmfcaller"
0.794278,0.003356,951,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstring"
0.613606,0.203830,36850,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\list"
0.591954,0.591954,7964,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxmem_fn"
0.578804,0.052782,21523,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\yvals.h"
