"Total seconds","Self seconds","File size","File path"
0.625000,0.046875,26690,"/usr/include/c++/5/chrono"
0.250000,0.125000,68840,"/usr/include/c++/5/type_traits"
0.234375,0.031250,19142,"/usr/include/c++/5/ratio"
0.203125,0.171875,69375,"/usr/include/c++/5/limits"
0.156250,0.125000,51064,"/usr/include/x86_64-linux-gnu/c++/5/bits/c++config.h"
0.093750,0.000000,2125,"/usr/include/c++/5/ctime"
0.062500,0.015625,13724,"/usr/include/time.h"
0.062500,0.000000,7763,"/usr/include/c++/5/bits/parse_numbers.h"
0.046875,0.031250,12985,"/usr/include/features.h"
0.046875,0.015625,2167,"/usr/include/c++/5/cstdint"
0.031250,0.015625,7563,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.031250,0.000000,1783,"/usr/include/x86_64-linux-gnu/c++/5/bits/os_defines.h"
0.015625,0.015625,7029,"/usr/lib/gcc/x86_64-linux-gnu/5/include/stdint-gcc.h"
0.015625,0.015625,13754,"/usr/lib/gcc/x86_64-linux-gnu/5/include/stddef.h"
0.015625,0.015625,14503,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.015625,0.000000,328,"/usr/lib/gcc/x86_64-linux-gnu/5/include/stdint.h"
0.000000,0.000000,1689,"/usr/include/xlocale.h"
0.000000,0.000000,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000000,0.000000,1333,"/usr/include/x86_64-linux-gnu/c++/5/bits/cpu_defines.h"
0.000000,0.000000,327,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000000,0.000000,3230,"/usr/include/x86_64-linux-gnu/bits/typesizes.h"
0.000000,0.000000,3314,"/usr/include/x86_64-linux-gnu/bits/time.h"
0.000000,0.000000,2153,"/usr/include/stdc-predef.h"
