"Total seconds","Self seconds","File size","File path"
0.343750,0.015625,6597,"/usr/include/c++/5/cstdlib"
0.250000,0.046875,33927,"/usr/include/stdlib.h"
0.109375,0.015625,6705,"/usr/include/x86_64-linux-gnu/sys/types.h"
0.093750,0.078125,12985,"/usr/include/features.h"
0.078125,0.046875,51064,"/usr/include/x86_64-linux-gnu/c++/5/bits/c++config.h"
0.062500,0.046875,7563,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.046875,0.031250,13724,"/usr/include/time.h"
0.046875,0.000000,3552,"/usr/include/x86_64-linux-gnu/bits/waitstatus.h"
0.046875,0.000000,2937,"/usr/include/endian.h"
0.031250,0.031250,13754,"/usr/lib/gcc/x86_64-linux-gnu/5/include/stddef.h"
0.031250,0.000000,4193,"/usr/include/x86_64-linux-gnu/sys/select.h"
0.031250,0.000000,1783,"/usr/include/x86_64-linux-gnu/c++/5/bits/os_defines.h"
0.031250,0.000000,5664,"/usr/include/x86_64-linux-gnu/bits/byteswap.h"
0.015625,0.015625,14503,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.015625,0.015625,2105,"/usr/include/x86_64-linux-gnu/bits/select.h"
0.015625,0.000000,2278,"/usr/include/x86_64-linux-gnu/sys/sysmacros.h"
0.015625,0.000000,1203,"/usr/include/alloca.h"
0.000000,0.000000,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000000,0.000000,1333,"/usr/include/x86_64-linux-gnu/c++/5/bits/cpu_defines.h"
0.000000,0.000000,327,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000000,0.000000,2162,"/usr/include/x86_64-linux-gnu/bits/waitflags.h"
0.000000,0.000000,3230,"/usr/include/x86_64-linux-gnu/bits/typesizes.h"
0.000000,0.000000,3314,"/usr/include/x86_64-linux-gnu/bits/time.h"
0.000000,0.000000,1156,"/usr/include/x86_64-linux-gnu/bits/stdlib-float.h"
0.000000,0.000000,4553,"/usr/include/x86_64-linux-gnu/bits/sigset.h"
0.000000,0.000000,6367,"/usr/include/x86_64-linux-gnu/bits/pthreadtypes.h"
0.000000,0.000000,176,"/usr/include/x86_64-linux-gnu/bits/endian.h"
0.000000,0.000000,1731,"/usr/include/x86_64-linux-gnu/bits/byteswap-16.h"
0.000000,0.000000,2153,"/usr/include/stdc-predef.h"
