"Total seconds","Self seconds","File size","File path"
0.609375,0.015625,11597,"/usr/include/c++/5/experimental/any"
0.390625,0.000000,8477,"/usr/include/c++/5/utility"
0.312500,0.031250,9865,"/usr/include/c++/5/bits/stl_pair.h"
0.296875,0.265625,51064,"/usr/include/x86_64-linux-gnu/c++/5/bits/c++config.h"
0.281250,0.234375,68840,"/usr/include/c++/5/type_traits"
0.234375,0.015625,6077,"/usr/include/c++/5/bits/move.h"
0.109375,0.000000,7685,"/usr/include/c++/5/typeinfo"
0.078125,0.000000,5322,"/usr/include/c++/5/exception"
0.046875,0.000000,3340,"/usr/include/c++/5/bits/concept_check.h"
0.031250,0.015625,12985,"/usr/include/features.h"
0.031250,0.000000,1783,"/usr/include/x86_64-linux-gnu/c++/5/bits/os_defines.h"
0.031250,0.000000,4678,"/usr/include/c++/5/new"
0.031250,0.000000,2974,"/usr/include/c++/5/initializer_list"
0.031250,0.000000,2167,"/usr/include/c++/5/cstdint"
0.031250,0.000000,2146,"/usr/include/c++/5/bits/hash_bytes.h"
0.015625,0.015625,7029,"/usr/lib/gcc/x86_64-linux-gnu/5/include/stdint-gcc.h"
0.015625,0.015625,14503,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.015625,0.000000,328,"/usr/lib/gcc/x86_64-linux-gnu/5/include/stdint.h"
0.000000,0.000000,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000000,0.000000,1333,"/usr/include/x86_64-linux-gnu/c++/5/bits/cpu_defines.h"
0.000000,0.000000,327,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000000,0.000000,2153,"/usr/include/stdc-predef.h"
0.000000,0.000000,4599,"/usr/include/c++/5/bits/stl_relops.h"
0.000000,0.000000,2253,"/usr/include/c++/5/bits/atomic_lockfree_defines.h"
