"Total seconds","Self seconds","File size","File path"
3.187500,0.015625,16023,"/usr/include/c++/5/scoped_allocator"
2.687500,0.046875,38760,"/usr/include/c++/5/tuple"
2.546875,0.031250,9951,"/usr/include/c++/5/array"
2.484375,0.000000,7372,"/usr/include/c++/5/stdexcept"
2.453125,0.000000,1943,"/usr/include/c++/5/string"
0.968750,0.156250,205959,"/usr/include/c++/5/bits/basic_string.h"
0.937500,0.906250,51064,"/usr/include/x86_64-linux-gnu/c++/5/bits/c++config.h"
0.703125,0.031250,17978,"/usr/include/c++/5/bits/char_traits.h"
0.578125,0.500000,68840,"/usr/include/c++/5/type_traits"
0.562500,0.109375,50910,"/usr/include/c++/5/bits/stl_algobase.h"
0.500000,0.000000,3211,"/usr/include/c++/5/ext/string_conversions.h"
0.484375,0.015625,8477,"/usr/include/c++/5/utility"
0.328125,0.000000,9865,"/usr/include/c++/5/bits/stl_pair.h"
0.281250,0.031250,6077,"/usr/include/c++/5/bits/move.h"
0.250000,0.015625,5646,"/usr/include/c++/5/bits/localefwd.h"
0.218750,0.015625,6597,"/usr/include/c++/5/cstdlib"
0.218750,0.015625,6469,"/usr/include/c++/5/bits/allocator.h"
0.218750,0.000000,3493,"/usr/include/c++/5/ext/atomicity.h"
0.203125,0.000000,6497,"/usr/include/c++/5/cwchar"
0.187500,0.031250,24237,"/usr/include/x86_64-linux-gnu/c++/5/bits/gthr-default.h"
0.187500,0.000000,5608,"/usr/include/x86_64-linux-gnu/c++/5/bits/gthr.h"
0.171875,0.015625,33927,"/usr/include/stdlib.h"
0.171875,0.000000,4395,"/usr/include/c++/5/cstdio"
0.156250,0.125000,31999,"/usr/include/wchar.h"
0.156250,0.062500,31639,"/usr/include/stdio.h"
0.156250,0.062500,38065,"/usr/include/c++/5/bits/stl_iterator.h"
0.156250,0.031250,41512,"/usr/include/pthread.h"
0.140625,0.015625,4436,"/usr/include/c++/5/ext/new_allocator.h"
0.140625,0.000000,1849,"/usr/include/x86_64-linux-gnu/c++/5/bits/c++allocator.h"
0.125000,0.109375,12985,"/usr/include/features.h"
0.125000,0.015625,8208,"/usr/include/c++/5/bits/postypes.h"
0.109375,0.015625,6705,"/usr/include/x86_64-linux-gnu/sys/types.h"
0.109375,0.015625,8624,"/usr/include/c++/5/bits/stl_iterator_base_types.h"
0.109375,0.000000,2409,"/usr/include/c++/5/cctype"
0.093750,0.078125,13724,"/usr/include/time.h"
0.093750,0.015625,5139,"/usr/include/c++/5/bits/ptr_traits.h"
0.078125,0.078125,51796,"/usr/include/c++/5/bits/basic_string.tcc"
0.078125,0.062500,10278,"/usr/include/c++/5/bits/cpp_type_traits.h"
0.078125,0.015625,17248,"/usr/include/libio.h"
0.078125,0.015625,11748,"/usr/include/ctype.h"
0.078125,0.015625,3264,"/usr/include/c++/5/bits/uses_allocator.h"
0.062500,0.062500,13754,"/usr/lib/gcc/x86_64-linux-gnu/5/include/stddef.h"
0.062500,0.046875,33330,"/usr/include/c++/5/bits/stl_function.h"
0.062500,0.000000,3304,"/usr/include/x86_64-linux-gnu/c++/5/bits/c++locale.h"
0.062500,0.000000,1905,"/usr/include/c++/5/clocale"
0.062500,0.000000,2607,"/usr/include/c++/5/bits/stringfwd.h"
0.046875,0.031250,2937,"/usr/include/endian.h"
0.046875,0.031250,4575,"/usr/include/c++/5/ext/numeric_traits.h"
0.046875,0.031250,20535,"/usr/include/c++/5/bits/alloc_traits.h"
0.046875,0.015625,4629,"/usr/include/sched.h"
0.046875,0.015625,7132,"/usr/include/c++/5/ext/alloc_traits.h"
0.046875,0.015625,6195,"/usr/include/c++/5/bits/functional_hash.h"
0.046875,0.015625,3254,"/usr/include/c++/5/bits/functexcept.h"
0.046875,0.015625,3340,"/usr/include/c++/5/bits/concept_check.h"
0.046875,0.000000,5880,"/usr/include/c++/5/ext/type_traits.h"
0.046875,0.000000,2167,"/usr/include/c++/5/cstdint"
0.046875,0.000000,1287,"/usr/include/_G_config.h"
0.031250,0.031250,7563,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.031250,0.031250,6367,"/usr/include/x86_64-linux-gnu/bits/pthreadtypes.h"
0.031250,0.000000,4193,"/usr/include/x86_64-linux-gnu/sys/select.h"
0.031250,0.000000,1783,"/usr/include/x86_64-linux-gnu/c++/5/bits/os_defines.h"
0.031250,0.000000,7941,"/usr/include/locale.h"
0.031250,0.000000,4678,"/usr/include/c++/5/new"
0.031250,0.000000,6919,"/usr/include/c++/5/iosfwd"
0.031250,0.000000,2974,"/usr/include/c++/5/initializer_list"
0.031250,0.000000,5322,"/usr/include/c++/5/exception"
0.031250,0.000000,2419,"/usr/include/c++/5/bits/memoryfwd.h"
0.031250,0.000000,2146,"/usr/include/c++/5/bits/hash_bytes.h"
0.015625,0.015625,7029,"/usr/lib/gcc/x86_64-linux-gnu/5/include/stdint-gcc.h"
0.015625,0.015625,4075,"/usr/lib/gcc/x86_64-linux-gnu/5/include/stdarg.h"
0.015625,0.015625,1689,"/usr/include/xlocale.h"
0.015625,0.015625,14503,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.015625,0.015625,7495,"/usr/include/x86_64-linux-gnu/bits/sched.h"
0.015625,0.015625,1731,"/usr/include/x86_64-linux-gnu/bits/byteswap-16.h"
0.015625,0.015625,23,"/usr/include/linux/errno.h"
0.015625,0.015625,7282,"/usr/include/c++/5/bits/range_access.h"
0.015625,0.015625,7939,"/usr/include/c++/5/bits/predefined_ops.h"
0.015625,0.015625,7167,"/usr/include/c++/5/backward/binders.h"
0.015625,0.015625,1203,"/usr/include/alloca.h"
0.015625,0.000000,328,"/usr/lib/gcc/x86_64-linux-gnu/5/include/stdint.h"
0.015625,0.000000,3552,"/usr/include/x86_64-linux-gnu/bits/waitstatus.h"
0.015625,0.000000,2145,"/usr/include/x86_64-linux-gnu/bits/errno.h"
0.015625,0.000000,5664,"/usr/include/x86_64-linux-gnu/bits/byteswap.h"
0.015625,0.000000,2367,"/usr/include/errno.h"
0.015625,0.000000,1742,"/usr/include/c++/5/cerrno"
0.015625,0.000000,6961,"/usr/include/c++/5/bits/stl_iterator_base_funcs.h"
0.000000,0.000000,2278,"/usr/include/x86_64-linux-gnu/sys/sysmacros.h"
0.000000,0.000000,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000000,0.000000,1333,"/usr/include/x86_64-linux-gnu/c++/5/bits/cpu_defines.h"
0.000000,0.000000,1924,"/usr/include/x86_64-linux-gnu/c++/5/bits/atomic_word.h"
0.000000,0.000000,327,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000000,0.000000,1905,"/usr/include/x86_64-linux-gnu/bits/wchar.h"
0.000000,0.000000,2162,"/usr/include/x86_64-linux-gnu/bits/waitflags.h"
0.000000,0.000000,3230,"/usr/include/x86_64-linux-gnu/bits/typesizes.h"
0.000000,0.000000,3314,"/usr/include/x86_64-linux-gnu/bits/time.h"
0.000000,0.000000,1214,"/usr/include/x86_64-linux-gnu/bits/sys_errlist.h"
0.000000,0.000000,1156,"/usr/include/x86_64-linux-gnu/bits/stdlib-float.h"
0.000000,0.000000,1354,"/usr/include/x86_64-linux-gnu/bits/stdio_lim.h"
0.000000,0.000000,4553,"/usr/include/x86_64-linux-gnu/bits/sigset.h"
0.000000,0.000000,1286,"/usr/include/x86_64-linux-gnu/bits/setjmp.h"
0.000000,0.000000,2105,"/usr/include/x86_64-linux-gnu/bits/select.h"
