"Total seconds","Self seconds","File size","File path"
0.187500,0.000000,6509,"/usr/include/c++/6/cwchar"
0.093750,0.062500,55897,"/usr/include/x86_64-linux-gnu/c++/6/bits/c++config.h"
0.093750,0.031250,31999,"/usr/include/wchar.h"
0.046875,0.015625,12985,"/usr/include/features.h"
0.031250,0.031250,31639,"/usr/include/stdio.h"
0.031250,0.000000,2007,"/usr/include/x86_64-linux-gnu/c++/6/bits/os_defines.h"
0.015625,0.015625,13754,"/usr/lib/gcc/x86_64-linux-gnu/6/include/stddef.h"
0.015625,0.015625,14503,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.015625,0.015625,2153,"/usr/include/stdc-predef.h"
0.000000,0.000000,4072,"/usr/lib/gcc/x86_64-linux-gnu/6/include/stdarg.h"
0.000000,0.000000,1689,"/usr/include/xlocale.h"
0.000000,0.000000,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000000,0.000000,1333,"/usr/include/x86_64-linux-gnu/c++/6/bits/cpu_defines.h"
0.000000,0.000000,327,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000000,0.000000,1905,"/usr/include/x86_64-linux-gnu/bits/wchar.h"
