"Total seconds","Self seconds","File size","File path"
2.671875,0.125000,40198,"/usr/include/c++/6/valarray"
1.718750,0.000000,2518,"/usr/include/c++/6/algorithm"
0.812500,0.234375,205236,"/usr/include/c++/6/bits/stl_algo.h"
0.765625,0.718750,55897,"/usr/include/x86_64-linux-gnu/c++/6/bits/c++config.h"
0.515625,0.000000,10587,"/usr/include/c++/6/utility"
0.484375,0.421875,76103,"/usr/include/c++/6/type_traits"
0.437500,0.093750,50403,"/usr/include/c++/6/bits/stl_algobase.h"
0.375000,0.046875,17594,"/usr/include/c++/6/bits/stl_pair.h"
0.250000,0.000000,6340,"/usr/include/c++/6/bits/move.h"
0.234375,0.140625,21743,"/usr/include/c++/6/bits/valarray_array.h"
0.234375,0.078125,47676,"/usr/include/c++/6/cmath"
0.234375,0.015625,9962,"/usr/include/c++/6/bits/uniform_int_dist.h"
0.203125,0.015625,8344,"/usr/include/c++/6/bits/stl_tempbuf.h"
0.171875,0.171875,22655,"/usr/include/c++/6/bits/valarray_after.h"
0.140625,0.109375,69375,"/usr/include/c++/6/limits"
0.140625,0.015625,5170,"/usr/include/c++/6/bits/stl_construct.h"
0.109375,0.015625,8657,"/usr/include/c++/6/bits/stl_iterator_base_types.h"
0.078125,0.046875,5914,"/usr/include/c++/6/ext/type_traits.h"
0.078125,0.031250,21534,"/usr/include/c++/6/bits/algorithmfwd.h"
0.062500,0.031250,40335,"/usr/include/c++/6/bits/stl_iterator.h"
0.062500,0.015625,9594,"/usr/include/c++/6/bits/cpp_type_traits.h"
0.062500,0.015625,19585,"/usr/include/c++/6/bits/alloc_traits.h"
0.062500,0.000000,5298,"/usr/include/c++/6/new"
0.062500,0.000000,5658,"/usr/include/c++/6/ext/alloc_traits.h"
0.062500,0.000000,6878,"/usr/include/c++/6/cstdlib"
0.046875,0.015625,2974,"/usr/include/c++/6/initializer_list"
0.046875,0.015625,3254,"/usr/include/c++/6/bits/functexcept.h"
0.046875,0.015625,3423,"/usr/include/c++/6/bits/concept_check.h"
0.031250,0.031250,4575,"/usr/include/c++/6/ext/numeric_traits.h"
0.031250,0.031250,9348,"/usr/include/c++/6/bits/slice_array.h"
0.031250,0.031250,4860,"/usr/include/c++/6/bits/ptr_traits.h"
0.031250,0.031250,7971,"/usr/include/c++/6/bits/predefined_ops.h"
0.031250,0.015625,18513,"/usr/include/c++/6/bits/valarray_before.h"
0.031250,0.015625,19205,"/usr/include/c++/6/bits/stl_heap.h"
0.031250,0.000000,2007,"/usr/include/x86_64-linux-gnu/c++/6/bits/os_defines.h"
0.031250,0.000000,12985,"/usr/include/features.h"
0.031250,0.000000,5665,"/usr/include/c++/6/exception"
0.031250,0.000000,2167,"/usr/include/c++/6/cstdint"
0.031250,0.000000,2419,"/usr/include/c++/6/bits/memoryfwd.h"
0.015625,0.015625,14503,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.015625,0.015625,1333,"/usr/include/x86_64-linux-gnu/c++/6/bits/cpu_defines.h"
0.015625,0.015625,2153,"/usr/include/stdc-predef.h"
0.015625,0.015625,7254,"/usr/include/c++/6/bits/valarray_array.tcc"
0.015625,0.015625,7870,"/usr/include/c++/6/bits/stl_iterator_base_funcs.h"
0.015625,0.015625,7595,"/usr/include/c++/6/bits/mask_array.h"
0.015625,0.015625,7861,"/usr/include/c++/6/bits/indirect_array.h"
0.015625,0.015625,7769,"/usr/include/c++/6/bits/gslice_array.h"
0.000000,0.000000,328,"/usr/lib/gcc/x86_64-linux-gnu/6/include/stdint.h"
0.000000,0.000000,7029,"/usr/lib/gcc/x86_64-linux-gnu/6/include/stdint-gcc.h"
0.000000,0.000000,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000000,0.000000,327,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000000,0.000000,5926,"/usr/include/c++/6/debug/debug.h"
0.000000,0.000000,1770,"/usr/include/c++/6/debug/assertions.h"
0.000000,0.000000,4599,"/usr/include/c++/6/bits/stl_relops.h"
0.000000,0.000000,5518,"/usr/include/c++/6/bits/gslice.h"
0.000000,0.000000,1645,"/usr/include/c++/6/bits/exception_defines.h"
0.000000,0.000000,2253,"/usr/include/c++/6/bits/atomic_lockfree_defines.h"
