"Total seconds","Self seconds","File size","File path"
2.343750,0.000000,2518,"/usr/include/c++/7/algorithm"
1.062500,0.015625,12493,"/usr/include/c++/7/utility"
0.875000,0.843750,57957,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++config.h"
0.781250,0.218750,213859,"/usr/include/c++/7/bits/stl_algo.h"
0.609375,0.515625,91603,"/usr/include/c++/7/type_traits"
0.531250,0.093750,50403,"/usr/include/c++/7/bits/stl_algobase.h"
0.500000,0.062500,18478,"/usr/include/c++/7/bits/stl_pair.h"
0.359375,0.046875,6653,"/usr/include/c++/7/bits/move.h"
0.328125,0.015625,4777,"/usr/include/c++/7/exception"
0.234375,0.000000,10147,"/usr/include/c++/7/bits/uniform_int_dist.h"
0.203125,0.000000,6329,"/usr/include/c++/7/bits/exception_ptr.h"
0.156250,0.125000,69181,"/usr/include/c++/7/limits"
0.125000,0.000000,8657,"/usr/include/c++/7/bits/stl_iterator_base_types.h"
0.109375,0.000000,8344,"/usr/include/c++/7/bits/stl_tempbuf.h"
0.093750,0.046875,9594,"/usr/include/c++/7/bits/cpp_type_traits.h"
0.078125,0.031250,5658,"/usr/include/c++/7/ext/alloc_traits.h"
0.078125,0.031250,21737,"/usr/include/c++/7/bits/algorithmfwd.h"
0.078125,0.015625,6130,"/usr/include/c++/7/cstdlib"
0.078125,0.000000,7397,"/usr/include/c++/7/bits/stl_construct.h"
0.062500,0.031250,41543,"/usr/include/c++/7/bits/stl_iterator.h"
0.062500,0.015625,7692,"/usr/include/c++/7/typeinfo"
0.062500,0.015625,2167,"/usr/include/c++/7/cstdint"
0.062500,0.015625,2156,"/usr/include/c++/7/bits/cxxabi_init_exception.h"
0.062500,0.015625,3423,"/usr/include/c++/7/bits/concept_check.h"
0.046875,0.031250,20206,"/usr/include/c++/7/bits/stl_heap.h"
0.046875,0.015625,7507,"/usr/include/c++/7/new"
0.046875,0.015625,2974,"/usr/include/c++/7/initializer_list"
0.046875,0.015625,5914,"/usr/include/c++/7/ext/type_traits.h"
0.046875,0.015625,19585,"/usr/include/c++/7/bits/alloc_traits.h"
0.046875,0.000000,4768,"/usr/include/c++/7/bits/nested_exception.h"
0.046875,0.000000,2146,"/usr/include/c++/7/bits/hash_bytes.h"
0.046875,0.000000,3254,"/usr/include/c++/7/bits/functexcept.h"
0.031250,0.031250,12985,"/usr/include/features.h"
0.031250,0.031250,9083,"/usr/include/c++/7/bits/predefined_ops.h"
0.031250,0.000000,2007,"/usr/include/x86_64-linux-gnu/c++/7/bits/os_defines.h"
0.031250,0.000000,3266,"/usr/include/c++/7/bits/std_abs.h"
0.031250,0.000000,2419,"/usr/include/c++/7/bits/memoryfwd.h"
0.031250,0.000000,2280,"/usr/include/c++/7/bits/exception.h"
0.015625,0.015625,9457,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdint-gcc.h"
0.015625,0.015625,5221,"/usr/include/c++/7/debug/debug.h"
0.015625,0.000000,328,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdint.h"
0.015625,0.000000,4575,"/usr/include/c++/7/ext/numeric_traits.h"
0.015625,0.000000,8071,"/usr/include/c++/7/bits/stl_iterator_base_funcs.h"
0.015625,0.000000,4860,"/usr/include/c++/7/bits/ptr_traits.h"
0.000000,0.000000,14140,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stddef.h"
0.000000,0.000000,14503,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.000000,0.000000,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000000,0.000000,1333,"/usr/include/x86_64-linux-gnu/c++/7/bits/cpu_defines.h"
0.000000,0.000000,327,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000000,0.000000,2153,"/usr/include/stdc-predef.h"
0.000000,0.000000,2411,"/usr/include/c++/7/debug/assertions.h"
0.000000,0.000000,4599,"/usr/include/c++/7/bits/stl_relops.h"
0.000000,0.000000,1645,"/usr/include/c++/7/bits/exception_defines.h"
