"Total seconds","Self seconds","File size","File path"
0.171875,0.000000,2409,"/usr/include/c++/7/cctype"
0.093750,0.062500,57957,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++config.h"
0.078125,0.015625,11748,"/usr/include/ctype.h"
0.062500,0.046875,12985,"/usr/include/features.h"
0.046875,0.031250,2937,"/usr/include/endian.h"
0.031250,0.000000,2007,"/usr/include/x86_64-linux-gnu/c++/7/bits/os_defines.h"
0.015625,0.015625,14503,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.015625,0.000000,7563,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.015625,0.000000,5664,"/usr/include/x86_64-linux-gnu/bits/byteswap.h"
0.000000,0.000000,1689,"/usr/include/xlocale.h"
0.000000,0.000000,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000000,0.000000,1333,"/usr/include/x86_64-linux-gnu/c++/7/bits/cpu_defines.h"
0.000000,0.000000,327,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000000,0.000000,3230,"/usr/include/x86_64-linux-gnu/bits/typesizes.h"
0.000000,0.000000,176,"/usr/include/x86_64-linux-gnu/bits/endian.h"
0.000000,0.000000,1731,"/usr/include/x86_64-linux-gnu/bits/byteswap-16.h"
0.000000,0.000000,2153,"/usr/include/stdc-predef.h"
