"Total seconds","Self seconds","File size","File path"
0.234375,0.000000,4439,"/usr/include/c++/7/cstdio"
0.140625,0.031250,31639,"/usr/include/stdio.h"
0.093750,0.046875,57957,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++config.h"
0.078125,0.015625,17248,"/usr/include/libio.h"
0.046875,0.015625,2007,"/usr/include/x86_64-linux-gnu/c++/7/bits/os_defines.h"
0.046875,0.000000,1287,"/usr/include/_G_config.h"
0.031250,0.031250,14140,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stddef.h"
0.031250,0.031250,7563,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.031250,0.015625,31999,"/usr/include/wchar.h"
0.031250,0.015625,12985,"/usr/include/features.h"
0.015625,0.015625,4072,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdarg.h"
0.015625,0.015625,14503,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.000000,0.000000,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000000,0.000000,1333,"/usr/include/x86_64-linux-gnu/c++/7/bits/cpu_defines.h"
0.000000,0.000000,327,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000000,0.000000,3230,"/usr/include/x86_64-linux-gnu/bits/typesizes.h"
0.000000,0.000000,1214,"/usr/include/x86_64-linux-gnu/bits/sys_errlist.h"
0.000000,0.000000,1354,"/usr/include/x86_64-linux-gnu/bits/stdio_lim.h"
0.000000,0.000000,2153,"/usr/include/stdc-predef.h"
