"Total seconds","Self seconds","File size","File path"
0.250000,0.000000,2210,"/usr/include/c++/7/cuchar"
0.125000,0.093750,57957,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++config.h"
0.125000,0.000000,6509,"/usr/include/c++/7/cwchar"
0.109375,0.062500,31999,"/usr/include/wchar.h"
0.046875,0.031250,12985,"/usr/include/features.h"
0.046875,0.000000,2482,"/usr/include/uchar.h"
0.031250,0.031250,31639,"/usr/include/stdio.h"
0.031250,0.000000,2007,"/usr/include/x86_64-linux-gnu/c++/7/bits/os_defines.h"
0.015625,0.015625,14140,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stddef.h"
0.015625,0.015625,2153,"/usr/include/stdc-predef.h"
0.000000,0.000000,4072,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdarg.h"
0.000000,0.000000,1689,"/usr/include/xlocale.h"
0.000000,0.000000,14503,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.000000,0.000000,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000000,0.000000,1333,"/usr/include/x86_64-linux-gnu/c++/7/bits/cpu_defines.h"
0.000000,0.000000,327,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000000,0.000000,1905,"/usr/include/x86_64-linux-gnu/bits/wchar.h"
