"Total seconds","Self seconds","File size","File path"
0.656250,0.015625,5160,"/usr/include/c++/7/numeric"
0.375000,0.281250,91603,"/usr/include/c++/7/type_traits"
0.281250,0.250000,57957,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++config.h"
0.265625,0.031250,8657,"/usr/include/c++/7/bits/stl_iterator_base_types.h"
0.187500,0.031250,13832,"/usr/include/c++/7/bits/stl_numeric.h"
0.125000,0.000000,6653,"/usr/include/c++/7/bits/move.h"
0.046875,0.000000,2167,"/usr/include/c++/7/cstdint"
0.031250,0.015625,12985,"/usr/include/features.h"
0.031250,0.000000,2007,"/usr/include/x86_64-linux-gnu/c++/7/bits/os_defines.h"
0.031250,0.000000,3423,"/usr/include/c++/7/bits/concept_check.h"
0.015625,0.015625,9457,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdint-gcc.h"
0.015625,0.015625,14503,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.015625,0.000000,328,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdint.h"
0.000000,0.000000,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000000,0.000000,1333,"/usr/include/x86_64-linux-gnu/c++/7/bits/cpu_defines.h"
0.000000,0.000000,327,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000000,0.000000,2153,"/usr/include/stdc-predef.h"
0.000000,0.000000,5221,"/usr/include/c++/7/debug/debug.h"
0.000000,0.000000,2411,"/usr/include/c++/7/debug/assertions.h"
