"Total seconds","Self seconds","File size","File path"
2.593750,0.000000,2467,"/usr/include/c++/7/queue"
2.062500,0.000000,2665,"/usr/include/c++/7/deque"
0.984375,0.093750,50403,"/usr/include/c++/7/bits/stl_algobase.h"
0.812500,0.734375,91603,"/usr/include/c++/7/type_traits"
0.718750,0.687500,57957,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++config.h"
0.578125,0.015625,6888,"/usr/include/c++/7/bits/allocator.h"
0.437500,0.015625,4779,"/usr/include/c++/7/ext/new_allocator.h"
0.437500,0.000000,1849,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++allocator.h"
0.421875,0.046875,18478,"/usr/include/c++/7/bits/stl_pair.h"
0.359375,0.078125,6653,"/usr/include/c++/7/bits/move.h"
0.343750,0.078125,27600,"/usr/include/c++/7/bits/stl_uninitialized.h"
0.312500,0.015625,7507,"/usr/include/c++/7/new"
0.296875,0.015625,2747,"/usr/include/c++/7/vector"
0.265625,0.015625,4777,"/usr/include/c++/7/exception"
0.187500,0.015625,12493,"/usr/include/c++/7/utility"
0.140625,0.031250,22125,"/usr/include/c++/7/bits/stl_queue.h"
0.140625,0.000000,6329,"/usr/include/c++/7/bits/exception_ptr.h"
0.125000,0.015625,8657,"/usr/include/c++/7/bits/stl_iterator_base_types.h"
0.109375,0.062500,33695,"/usr/include/c++/7/bits/stl_bvector.h"
0.109375,0.000000,6383,"/usr/include/c++/7/bits/uses_allocator.h"
0.093750,0.078125,55551,"/usr/include/c++/7/bits/stl_vector.h"
0.093750,0.078125,77771,"/usr/include/c++/7/bits/stl_deque.h"
0.093750,0.062500,9594,"/usr/include/c++/7/bits/cpp_type_traits.h"
0.078125,0.046875,41543,"/usr/include/c++/7/bits/stl_iterator.h"
0.062500,0.062500,34058,"/usr/include/c++/7/bits/deque.tcc"
0.062500,0.031250,33276,"/usr/include/c++/7/bits/stl_function.h"
0.062500,0.031250,7397,"/usr/include/c++/7/bits/stl_construct.h"
0.046875,0.046875,27538,"/usr/include/c++/7/bits/vector.tcc"
0.046875,0.015625,4768,"/usr/include/c++/7/bits/nested_exception.h"
0.046875,0.015625,3254,"/usr/include/c++/7/bits/functexcept.h"
0.046875,0.000000,7692,"/usr/include/c++/7/typeinfo"
0.046875,0.000000,5914,"/usr/include/c++/7/ext/type_traits.h"
0.046875,0.000000,2167,"/usr/include/c++/7/cstdint"
0.046875,0.000000,2419,"/usr/include/c++/7/bits/memoryfwd.h"
0.046875,0.000000,2146,"/usr/include/c++/7/bits/hash_bytes.h"
0.046875,0.000000,2156,"/usr/include/c++/7/bits/cxxabi_init_exception.h"
0.031250,0.015625,12985,"/usr/include/features.h"
0.031250,0.015625,4575,"/usr/include/c++/7/ext/numeric_traits.h"
0.031250,0.015625,20206,"/usr/include/c++/7/bits/stl_heap.h"
0.031250,0.015625,19585,"/usr/include/c++/7/bits/alloc_traits.h"
0.031250,0.000000,2007,"/usr/include/x86_64-linux-gnu/c++/7/bits/os_defines.h"
0.031250,0.000000,2974,"/usr/include/c++/7/initializer_list"
0.031250,0.000000,5658,"/usr/include/c++/7/ext/alloc_traits.h"
0.031250,0.000000,2280,"/usr/include/c++/7/bits/exception.h"
0.031250,0.000000,3423,"/usr/include/c++/7/bits/concept_check.h"
0.015625,0.015625,9457,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdint-gcc.h"
0.015625,0.015625,14140,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stddef.h"
0.015625,0.015625,14503,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.015625,0.015625,2411,"/usr/include/c++/7/debug/assertions.h"
0.015625,0.015625,8071,"/usr/include/c++/7/bits/stl_iterator_base_funcs.h"
0.015625,0.015625,4860,"/usr/include/c++/7/bits/ptr_traits.h"
0.015625,0.015625,9083,"/usr/include/c++/7/bits/predefined_ops.h"
0.015625,0.015625,8194,"/usr/include/c++/7/bits/functional_hash.h"
0.015625,0.015625,7167,"/usr/include/c++/7/backward/binders.h"
0.015625,0.000000,328,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdint.h"
0.000000,0.000000,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000000,0.000000,1333,"/usr/include/x86_64-linux-gnu/c++/7/bits/cpu_defines.h"
0.000000,0.000000,327,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000000,0.000000,2153,"/usr/include/stdc-predef.h"
0.000000,0.000000,5221,"/usr/include/c++/7/debug/debug.h"
0.000000,0.000000,4599,"/usr/include/c++/7/bits/stl_relops.h"
0.000000,0.000000,9834,"/usr/include/c++/7/bits/range_access.h"
0.000000,0.000000,1645,"/usr/include/c++/7/bits/exception_defines.h"
