"Total seconds","Self seconds","File size","File path"
1.593750,0.046875,20837,"/usr/include/c++/7/string_view"
0.984375,0.031250,18548,"/usr/include/c++/7/bits/char_traits.h"
0.890625,0.062500,50403,"/usr/include/c++/7/bits/stl_algobase.h"
0.609375,0.562500,57957,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++config.h"
0.406250,0.328125,91603,"/usr/include/c++/7/type_traits"
0.406250,0.015625,18478,"/usr/include/c++/7/bits/stl_pair.h"
0.281250,0.000000,6653,"/usr/include/c++/7/bits/move.h"
0.234375,0.125000,69181,"/usr/include/c++/7/limits"
0.234375,0.000000,6918,"/usr/include/c++/7/iosfwd"
0.187500,0.031250,6509,"/usr/include/c++/7/cwchar"
0.125000,0.031250,8657,"/usr/include/c++/7/bits/stl_iterator_base_types.h"
0.125000,0.000000,8208,"/usr/include/c++/7/bits/postypes.h"
0.093750,0.062500,9594,"/usr/include/c++/7/bits/cpp_type_traits.h"
0.093750,0.046875,31999,"/usr/include/wchar.h"
0.078125,0.000000,2607,"/usr/include/c++/7/bits/stringfwd.h"
0.062500,0.046875,12985,"/usr/include/features.h"
0.062500,0.031250,41543,"/usr/include/c++/7/bits/stl_iterator.h"
0.046875,0.015625,2167,"/usr/include/c++/7/cstdint"
0.046875,0.015625,9834,"/usr/include/c++/7/bits/range_access.h"
0.046875,0.015625,8194,"/usr/include/c++/7/bits/functional_hash.h"
0.046875,0.000000,2007,"/usr/include/x86_64-linux-gnu/c++/7/bits/os_defines.h"
0.046875,0.000000,5914,"/usr/include/c++/7/ext/type_traits.h"
0.031250,0.031250,9083,"/usr/include/c++/7/bits/predefined_ops.h"
0.031250,0.015625,4575,"/usr/include/c++/7/ext/numeric_traits.h"
0.031250,0.000000,2974,"/usr/include/c++/7/initializer_list"
0.031250,0.000000,2419,"/usr/include/c++/7/bits/memoryfwd.h"
0.031250,0.000000,2146,"/usr/include/c++/7/bits/hash_bytes.h"
0.031250,0.000000,3254,"/usr/include/c++/7/bits/functexcept.h"
0.031250,0.000000,3423,"/usr/include/c++/7/bits/concept_check.h"
0.015625,0.015625,1689,"/usr/include/xlocale.h"
0.015625,0.015625,14503,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.015625,0.015625,31639,"/usr/include/stdio.h"
0.015625,0.015625,2411,"/usr/include/c++/7/debug/assertions.h"
0.015625,0.015625,4860,"/usr/include/c++/7/bits/ptr_traits.h"
0.015625,0.000000,8071,"/usr/include/c++/7/bits/stl_iterator_base_funcs.h"
0.000000,0.000000,328,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdint.h"
0.000000,0.000000,9457,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdint-gcc.h"
0.000000,0.000000,14140,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stddef.h"
0.000000,0.000000,4072,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdarg.h"
0.000000,0.000000,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000000,0.000000,1333,"/usr/include/x86_64-linux-gnu/c++/7/bits/cpu_defines.h"
0.000000,0.000000,327,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000000,0.000000,1905,"/usr/include/x86_64-linux-gnu/bits/wchar.h"
0.000000,0.000000,2153,"/usr/include/stdc-predef.h"
0.000000,0.000000,5221,"/usr/include/c++/7/debug/debug.h"
0.000000,0.000000,6571,"/usr/include/c++/7/bits/string_view.tcc"
0.000000,0.000000,1645,"/usr/include/c++/7/bits/exception_defines.h"
