"Total seconds","Self seconds","File size","File path"
1.859375,0.093750,42861,"/usr/include/c++/7/variant"
0.781250,0.640625,91603,"/usr/include/c++/7/type_traits"
0.765625,0.015625,12493,"/usr/include/c++/7/utility"
0.671875,0.640625,57957,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++config.h"
0.296875,0.000000,4777,"/usr/include/c++/7/exception"
0.281250,0.031250,18478,"/usr/include/c++/7/bits/stl_pair.h"
0.203125,0.046875,6653,"/usr/include/c++/7/bits/move.h"
0.203125,0.015625,7397,"/usr/include/c++/7/bits/stl_construct.h"
0.187500,0.000000,6329,"/usr/include/c++/7/bits/exception_ptr.h"
0.171875,0.031250,19585,"/usr/include/c++/7/bits/alloc_traits.h"
0.171875,0.000000,5658,"/usr/include/c++/7/ext/alloc_traits.h"
0.156250,0.015625,7763,"/usr/include/c++/7/bits/parse_numbers.h"
0.140625,0.109375,69181,"/usr/include/c++/7/limits"
0.125000,0.015625,8657,"/usr/include/c++/7/bits/stl_iterator_base_types.h"
0.093750,0.000000,4575,"/usr/include/c++/7/ext/numeric_traits.h"
0.093750,0.000000,3657,"/usr/include/c++/7/bits/invoke.h"
0.078125,0.000000,3742,"/usr/include/c++/7/ext/aligned_buffer.h"
0.062500,0.031250,9594,"/usr/include/c++/7/bits/cpp_type_traits.h"
0.062500,0.015625,2167,"/usr/include/c++/7/cstdint"
0.046875,0.015625,7692,"/usr/include/c++/7/typeinfo"
0.046875,0.015625,7507,"/usr/include/c++/7/new"
0.046875,0.015625,2974,"/usr/include/c++/7/initializer_list"
0.046875,0.015625,3423,"/usr/include/c++/7/bits/concept_check.h"
0.046875,0.000000,5914,"/usr/include/c++/7/ext/type_traits.h"
0.046875,0.000000,4768,"/usr/include/c++/7/bits/nested_exception.h"
0.046875,0.000000,2156,"/usr/include/c++/7/bits/cxxabi_init_exception.h"
0.031250,0.015625,12985,"/usr/include/features.h"
0.031250,0.000000,2007,"/usr/include/x86_64-linux-gnu/c++/7/bits/os_defines.h"
0.031250,0.000000,2419,"/usr/include/c++/7/bits/memoryfwd.h"
0.031250,0.000000,2146,"/usr/include/c++/7/bits/hash_bytes.h"
0.031250,0.000000,3254,"/usr/include/c++/7/bits/functexcept.h"
0.031250,0.000000,2280,"/usr/include/c++/7/bits/exception.h"
0.015625,0.015625,9457,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdint-gcc.h"
0.015625,0.015625,14140,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stddef.h"
0.015625,0.015625,14503,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.015625,0.015625,8194,"/usr/include/c++/7/bits/functional_hash.h"
0.015625,0.015625,12387,"/usr/include/c++/7/bits/enable_special_members.h"
0.015625,0.000000,328,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdint.h"
0.015625,0.000000,4860,"/usr/include/c++/7/bits/ptr_traits.h"
0.000000,0.000000,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000000,0.000000,1333,"/usr/include/x86_64-linux-gnu/c++/7/bits/cpu_defines.h"
0.000000,0.000000,327,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000000,0.000000,2153,"/usr/include/stdc-predef.h"
0.000000,0.000000,2411,"/usr/include/c++/7/debug/assertions.h"
0.000000,0.000000,4599,"/usr/include/c++/7/bits/stl_relops.h"
0.000000,0.000000,8071,"/usr/include/c++/7/bits/stl_iterator_base_funcs.h"
0.000000,0.000000,1645,"/usr/include/c++/7/bits/exception_defines.h"
