"Total seconds","Self seconds","File size","File path"
9.650479,0.118525,31390,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\complex"
8.330863,0.063901,19652,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\sstream"
8.266962,0.106373,26378,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\string"
8.160589,0.086789,19181,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\iterator"
8.073800,0.134264,33667,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\istream"
7.939536,0.135119,30784,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\ostream"
7.804418,0.032480,9574,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\ios"
7.771937,0.234299,50568,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xlocnum"
6.005900,0.059985,17981,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\streambuf"
5.945915,0.076369,19771,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xiosbase"
5.790546,0.317771,92168,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xlocale"
4.627800,0.018788,6210,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\stdexcept"
4.339730,0.280083,66170,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xstring"
4.059647,0.269181,27686,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xmemory0"
2.323409,0.376634,101766,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xutility"
1.946775,0.182792,12074,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\utility"
1.563754,0.509072,51774,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\type_traits"
1.054682,1.054682,27247,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xrefwrap"
0.861935,0.007549,1759,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cstdio"
0.854386,0.828920,49367,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\stdio.h"
0.763588,0.007168,2380,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\ymath.h"
0.756420,0.052250,20941,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\yvals.h"
0.754254,0.213180,35559,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\limits"
0.682077,0.210969,98490,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\crtdefs.h"
0.673851,0.277687,59781,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\intrin.h"
0.660662,0.005259,1308,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cstdlib"
0.655403,0.655403,47697,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\stdlib.h"
0.643697,0.004179,1013,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cstring"
0.639517,0.639517,30364,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\string.h"
0.500317,0.008376,1769,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cwchar"
0.491942,0.488080,77057,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\wchar.h"
0.459867,0.437868,213027,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\sal.h"
0.341510,0.155232,84365,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\immintrin.h"
0.278256,0.010025,1980,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cmath"
0.269282,0.065698,13229,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\exception"
