"Total seconds","Self seconds","File size","File path"
9.656692,0.597656,154701,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\random"
8.661174,0.153239,33667,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\istream"
8.507935,0.116760,30784,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\ostream"
8.391175,0.031122,9574,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\ios"
8.360053,0.240887,50568,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xlocnum"
5.550618,0.055834,17981,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\streambuf"
5.494785,0.067019,19771,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xiosbase"
5.356408,0.320762,92168,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xlocale"
4.254591,0.019356,6210,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\stdexcept"
3.967403,0.263713,66170,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xstring"
3.703690,0.263000,27686,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xmemory0"
2.024261,0.362187,101766,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xutility"
1.662074,0.088547,12074,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\utility"
1.382128,0.482794,51774,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\type_traits"
0.899335,0.899335,27247,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xrefwrap"
0.839786,0.007278,1759,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cstdio"
0.832508,0.808793,49367,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\stdio.h"
0.778719,0.001388,300,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\climits"
0.769875,0.051611,20941,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\yvals.h"
0.737781,0.190847,35559,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\limits"
0.696879,0.207492,98490,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\crtdefs.h"
0.661181,0.005272,1308,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cstdlib"
0.655909,0.655909,47697,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\stdlib.h"
0.641856,0.269960,59781,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\intrin.h"
0.584610,0.004021,1013,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cstring"
