"Total seconds","Self seconds","File size","File path"
10.643687,0.064577,7419,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\thread"
6.214901,1.731051,47724,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\functional"
3.431711,0.063670,20807,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xfunctional"
3.363428,0.265888,66170,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xstring"
3.097540,0.248096,27686,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xmemory0"
2.266867,0.056178,13229,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\exception"
1.705030,0.329452,101766,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xutility"
1.585660,0.158917,35427,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xstddef"
1.508634,0.085269,22463,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\iosfwd"
1.375578,0.077255,12074,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\utility"
1.298323,0.458949,51774,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\type_traits"
1.038841,1.038841,30889,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\tuple"
0.843779,0.007294,1759,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cstdio"
0.839373,0.839373,27247,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xrefwrap"
0.836485,0.813362,49367,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\stdio.h"
0.735067,0.049649,20941,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\yvals.h"
0.664109,0.202747,98490,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\crtdefs.h"
0.648518,0.641215,47697,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\stdlib.h"
0.614154,0.259102,59781,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\intrin.h"
0.583024,0.583024,30364,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\string.h"
0.494490,0.204068,35559,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\limits"
0.490491,0.007407,1769,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cwchar"
0.483084,0.478832,77057,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\wchar.h"
0.450474,0.429337,213027,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\sal.h"
0.327535,0.327535,249170,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\concrt.h"
0.305500,0.123565,84365,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\immintrin.h"
0.235954,0.019113,1980,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cmath"
0.231399,0.080353,20331,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\chrono"
0.181935,0.003657,2302,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\wmmintrin.h"
0.178278,0.010481,3966,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\nmmintrin.h"
0.168311,0.168311,23918,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\math.h"
0.167797,0.021555,9531,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\smmintrin.h"
0.146242,0.008988,3394,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\tmmintrin.h"
0.137254,0.006263,2966,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\pmmintrin.h"
0.130991,0.051335,14912,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\emmintrin.h"
0.094273,0.083808,11873,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\time.h"
0.085721,0.085721,36605,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\crtdbg.h"
0.079656,0.059852,18480,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xmmintrin.h"
0.048531,0.048531,3765,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\xtgmath.h"
0.046677,0.036232,8361,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\ratio"
0.046607,0.000992,295,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\cfloat"
0.045615,0.042215,12936,"C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\include\float.h"
