"Total seconds","Self seconds","File size","File path"
17.319795,0.260243,13843,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\array"
14.144936,0.936204,131422,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\algorithm"
13.208731,0.207011,28214,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xmemory"
13.001720,0.192126,26045,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xmemory0"
3.886471,0.404937,34433,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\limits"
3.405110,0.014215,1413,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstdlib"
2.964075,0.678547,95857,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xutility"
2.810733,0.087775,19034,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\iterator"
2.722958,0.221051,34401,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\istream"
2.501907,0.180895,28655,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\ostream"
2.321013,0.049541,9614,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\ios"
2.285528,0.093627,12953,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\utility"
2.271472,0.381004,51031,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xlocnum"
2.183639,0.019170,1920,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cwchar"
2.164469,2.074968,81194,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\wchar.h"
1.928170,0.142811,23751,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\yvals.h"
1.890468,0.107973,18250,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\streambuf"
1.782495,0.121399,19283,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xiosbase"
1.729773,0.574304,108594,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\crtdefs.h"
1.587983,0.223008,23774,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\iosfwd"
1.525884,0.660776,62813,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\intrin.h"
1.523322,0.538858,92754,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xlocale"
1.462724,1.446889,53607,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdlib.h"
1.135240,0.017126,1901,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstdio"
1.127206,1.068817,214619,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\sal.h"
1.118114,1.118114,53217,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdio.h"
1.053433,0.033882,4333,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cmath"
1.000170,0.029732,3439,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\new"
0.970438,0.106922,13054,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\exception"
0.766662,0.766662,32391,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\string.h"
0.740474,0.740474,44558,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\math.h"
0.735241,0.387837,88486,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\immintrin.h"
0.623353,0.034495,6210,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdexcept"
0.603918,0.356846,42381,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\type_traits"
0.588858,0.588858,75778,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xstring"
0.347405,0.008801,2400,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\wmmintrin.h"
0.338604,0.022767,4090,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\nmmintrin.h"
0.315837,0.044726,9655,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\smmintrin.h"
0.312315,0.063569,9122,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xlocinfo"
0.279077,0.228857,7283,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xtgmath.h"
0.271110,0.019424,3533,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\tmmintrin.h"
0.251686,0.014397,3051,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\pmmintrin.h"
0.248746,0.062055,5978,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xlocinfo.h"
0.247072,0.247072,19160,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xrefwrap"
0.237288,0.104184,15010,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\emmintrin.h"
0.221146,0.221146,38669,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\crtdbg.h"
0.157571,0.157571,18737,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\ctype.h"
