"Total seconds","Self seconds","File size","File path"
1.144129,0.006351,1051,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cfenv"
1.050007,0.078419,23751,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\yvals.h"
0.935433,0.296017,108594,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\crtdefs.h"
0.624390,0.594221,214619,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\sal.h"
0.087771,0.028939,3949,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\fenv.h"
0.058832,0.054916,14163,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\float.h"
0.031635,0.031635,8078,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xkeycheck.h"
0.030170,0.030170,15721,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\ConcurrencySal.h"
0.015026,0.015026,4377,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\vadefs.h"
0.004520,0.004520,1340,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\use_ansi.h"
0.003916,0.003916,1824,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\crtwrn.h"
