"Total seconds","Self seconds","File size","File path"
15.603801,0.050536,7753,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\condition_variable"
11.327461,0.076227,10988,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\mutex"
7.060589,0.152686,20199,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\chrono"
4.225804,0.040003,5117,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\thr\xthread"
4.190645,0.384012,37434,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\functional"
4.128512,0.369648,34433,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\limits"
3.577245,0.175268,26418,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xfunctional"
3.390962,0.663046,75778,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xstring"
2.727916,0.219695,26045,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xmemory0"
2.676541,0.104640,12953,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\utility"
2.571901,0.222146,23774,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\iosfwd"
2.320409,0.016833,1920,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cwchar"
2.303576,2.217604,81194,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\wchar.h"
2.283218,0.315309,42381,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\type_traits"
1.695619,0.094729,14668,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xstddef"
1.561162,0.016797,2977,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\thr\xthrcommon.h"
1.544364,0.112680,23751,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\yvals.h"
1.507775,1.507775,53607,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdlib.h"
1.493409,0.614224,62813,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\intrin.h"
1.380429,0.429485,108594,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\crtdefs.h"
1.307587,0.046460,4333,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cmath"
1.274289,0.019663,1901,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstdio"
1.254626,1.254626,53217,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdio.h"
0.957207,0.957207,44558,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\math.h"
0.925218,0.877802,214619,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\sal.h"
0.862311,0.009329,1013,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstring"
0.852982,0.852982,32391,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\string.h"
0.753452,0.329459,88486,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\immintrin.h"
0.739040,0.739040,95857,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xutility"
0.423994,0.008605,2400,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\wmmintrin.h"
0.415388,0.025896,4090,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\nmmintrin.h"
0.389492,0.072701,9655,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\smmintrin.h"
0.316791,0.022597,3533,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\tmmintrin.h"
0.305051,0.004642,1341,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\thr\xtime"
0.303919,0.303919,7283,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xtgmath.h"
0.300408,0.009295,1820,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\thr\xtimec.h"
0.294194,0.014166,3051,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\pmmintrin.h"
0.291114,0.253524,13288,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\time.h"
0.280028,0.116802,15010,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\emmintrin.h"
0.272290,0.272290,19160,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xrefwrap"
0.244435,0.033102,3439,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\new"
0.213156,0.213156,38669,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\crtdbg.h"
0.211334,0.114343,13054,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\exception"
0.194231,0.194231,21893,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\tuple"
0.163226,0.111911,18777,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xmmintrin.h"
0.106801,0.001975,295,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cfloat"
0.104826,0.098523,14163,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\float.h"
0.102850,0.075829,9413,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\ratio"
0.099113,0.099113,13334,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\ammintrin.h"
0.085972,0.085972,4368,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\swprintf.inl"
0.076202,0.076202,11706,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\malloc.h"
0.063709,0.063709,9177,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xtr1common"
0.051315,0.051315,6477,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\mmintrin.h"
0.047416,0.047416,15721,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\ConcurrencySal.h"
0.045514,0.045514,8078,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xkeycheck.h"
0.036371,0.022865,4433,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\thr\xthreads.h"
0.035157,0.035157,7409,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\typeinfo"
0.031336,0.031336,6223,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xatomic0.h"
0.027022,0.027022,4344,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdint.h"
0.026618,0.026618,4217,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\setjmp.h"
0.025727,0.025727,4377,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\vadefs.h"
0.025301,0.025301,3941,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\time.inl"
0.022620,0.022620,3659,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\ymath.h"
0.020788,0.020788,2805,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\eh.h"
0.015064,0.004799,713,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstddef"
0.014342,0.014342,1851,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\initializer_list"
0.013506,0.013506,3544,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\limits.h"
0.012288,0.012288,1568,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\wtime.inl"
