"Total seconds","Self seconds","File size","File path"
13.941573,0.315793,37434,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\functional"
13.441477,0.139579,26418,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xfunctional"
9.819624,0.457008,75778,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xstring"
9.362616,0.217135,26045,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xmemory0"
3.676253,0.429743,34433,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\limits"
3.482274,0.014401,1413,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstdlib"
3.122966,0.698565,95857,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xutility"
2.424401,0.102627,12953,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\utility"
1.877941,0.019733,1920,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cwchar"
1.859343,0.140052,23751,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\yvals.h"
1.858208,1.783116,81194,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\wchar.h"
1.712882,0.221205,23774,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\iosfwd"
1.666340,0.546815,108594,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\crtdefs.h"
1.608530,1.591849,53607,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdlib.h"
1.286184,0.531455,62813,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\intrin.h"
1.256274,0.020782,1901,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstdio"
1.235492,1.235492,53217,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdio.h"
1.115548,0.033961,4333,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cmath"
1.090826,1.034136,214619,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\sal.h"
1.029526,0.031872,3439,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\new"
0.997654,0.110772,13054,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\exception"
0.805299,0.805299,44558,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\math.h"
0.782081,0.782081,32391,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\string.h"
0.647375,0.273127,88486,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\immintrin.h"
0.608892,0.343853,42381,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\type_traits"
0.374248,0.008169,2400,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\wmmintrin.h"
0.366079,0.022172,4090,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\nmmintrin.h"
0.343907,0.046489,9655,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\smmintrin.h"
0.297419,0.019818,3533,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\tmmintrin.h"
0.277601,0.013285,3051,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\pmmintrin.h"
0.276288,0.221137,7283,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xtgmath.h"
0.265039,0.265039,19160,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xrefwrap"
0.264316,0.103731,15010,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\emmintrin.h"
0.224651,0.224651,38669,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\crtdbg.h"
