"Total seconds","Self seconds","File size","File path"
14.650060,0.133458,19034,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\iterator"
14.516601,0.282827,34401,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\istream"
14.233775,0.247067,28655,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\ostream"
13.986708,0.085334,9614,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\ios"
13.901374,0.427438,51031,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xlocnum"
8.453556,0.128473,18250,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\streambuf"
8.325083,0.140926,19283,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xiosbase"
8.016291,0.591251,92754,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xlocale"
5.855305,0.044987,6210,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdexcept"
5.428056,0.612405,75778,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xstring"
4.815651,0.192291,26045,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xmemory0"
1.763416,0.622197,95857,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xutility"
1.735623,0.435414,34433,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\limits"
1.650112,0.003008,300,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\climits"
1.636003,0.098853,23751,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\yvals.h"
1.488238,0.462756,108594,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\crtdefs.h"
1.360141,0.012822,1901,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstdio"
1.347319,1.289104,53217,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdio.h"
1.168323,0.019797,1920,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cwchar"
1.148526,1.134916,81194,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\wchar.h"
1.141219,0.098847,12953,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\utility"
1.087826,0.008893,1013,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstring"
1.078932,1.078932,32391,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\string.h"
1.064507,0.455002,62813,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\intrin.h"
1.010562,0.033543,4333,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cmath"
0.999914,0.949329,214619,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\sal.h"
0.999566,0.008530,1413,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstdlib"
0.991035,0.991035,53607,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdlib.h"
0.708977,0.708977,44558,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\math.h"
0.595305,0.336354,42381,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\type_traits"
0.524012,0.215961,88486,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\immintrin.h"
0.447067,0.224126,23774,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\iosfwd"
0.418918,0.088650,9122,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xlocinfo"
0.382262,0.136369,13054,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\exception"
0.330269,0.078606,5978,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xlocinfo.h"
0.308051,0.006266,2400,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\wmmintrin.h"
0.301785,0.017176,4090,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\nmmintrin.h"
0.284609,0.035363,9655,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\smmintrin.h"
0.268042,0.211122,7283,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xtgmath.h"
0.258951,0.258951,19160,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xrefwrap"
0.249246,0.016455,3533,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\tmmintrin.h"
0.232791,0.011555,3051,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\pmmintrin.h"
0.222941,0.222941,38669,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\crtdbg.h"
0.221236,0.094452,15010,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\emmintrin.h"
0.210274,0.210274,18737,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\ctype.h"
0.163985,0.142983,17893,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\system_error"
0.141020,0.108417,14668,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xstddef"
0.126784,0.089281,18777,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xmmintrin.h"
0.106100,0.002197,295,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cfloat"
0.103903,0.097025,14163,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\float.h"
0.082858,0.082858,11706,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\malloc.h"
0.065802,0.065802,13334,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\ammintrin.h"
0.058214,0.058214,4368,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\swprintf.inl"
0.056920,0.056920,9177,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xtr1common"
0.050586,0.050586,15721,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\ConcurrencySal.h"
