"Total seconds","Self seconds","File size","File path"
13.950905,0.066783,10988,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\mutex"
7.036129,0.150335,20199,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\chrono"
4.217420,0.413782,34433,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\limits"
3.934017,0.342976,37434,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\functional"
3.386390,0.152859,26418,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xfunctional"
3.221269,0.557865,75778,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xstring"
2.913976,0.038759,5117,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\thr\xthread"
2.663404,0.214496,26045,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xmemory0"
2.574203,0.095984,12953,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\utility"
2.478220,0.205461,23774,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\iosfwd"
2.349007,0.019655,1920,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cwchar"
2.329353,2.244957,81194,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\wchar.h"
1.514446,0.145877,42381,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\type_traits"
1.507161,0.663072,62813,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\intrin.h"
1.320070,0.045904,4333,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cmath"
1.221093,0.017928,1901,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstdio"
1.203165,1.203165,53217,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdio.h"
1.149839,0.010363,2977,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\thr\xthrcommon.h"
1.139475,0.070441,23751,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\yvals.h"
1.037185,0.321063,108594,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\crtdefs.h"
0.975634,0.975634,44558,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\math.h"
0.839553,0.008951,1013,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstring"
0.830602,0.830602,32391,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\string.h"
0.819037,0.046438,14668,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xstddef"
0.729884,0.729884,53607,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdlib.h"
0.723076,0.309645,88486,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\immintrin.h"
0.699008,0.664377,214619,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\sal.h"
0.671534,0.671534,95857,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xutility"
0.549532,0.549532,19160,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xrefwrap"
0.413431,0.008768,2400,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\wmmintrin.h"
0.404663,0.024720,4090,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\nmmintrin.h"
0.379943,0.051633,9655,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\smmintrin.h"
0.328310,0.022655,3533,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\tmmintrin.h"
0.305655,0.014365,3051,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\pmmintrin.h"
0.298532,0.298532,7283,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xtgmath.h"
0.291290,0.120141,15010,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\emmintrin.h"
0.239881,0.031933,3439,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\new"
0.212112,0.212112,38669,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\crtdbg.h"
0.207948,0.108625,13054,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\exception"
0.186922,0.003176,1341,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\thr\xtime"
0.183746,0.005214,1820,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\thr\xtimec.h"
0.178531,0.155473,13288,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\time.h"
0.172721,0.172721,21893,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\tuple"
0.171148,0.122895,18777,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xmmintrin.h"
0.107907,0.002224,295,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cfloat"
0.105682,0.098561,14163,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\float.h"
0.095368,0.095368,13334,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\ammintrin.h"
0.094171,0.069127,9413,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\ratio"
0.084396,0.084396,4368,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\swprintf.inl"
0.077010,0.077010,11706,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\malloc.h"
0.048253,0.048253,6477,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\mmintrin.h"
0.034632,0.034632,15721,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\ConcurrencySal.h"
0.031931,0.031931,7409,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\typeinfo"
0.030331,0.030331,6223,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xatomic0.h"
0.029624,0.029624,9177,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xtr1common"
0.027845,0.027845,8078,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xkeycheck.h"
0.025645,0.025645,4217,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\setjmp.h"
0.025291,0.025291,3659,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\ymath.h"
0.025044,0.025044,4344,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdint.h"
0.024010,0.015649,4433,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\thr\xthreads.h"
0.022314,0.022314,2805,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\eh.h"
0.017113,0.017113,4377,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\vadefs.h"
0.015143,0.015143,3941,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\time.inl"
0.012261,0.012261,1413,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstdlib"
0.008362,0.008362,3544,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\limits.h"
0.007916,0.007916,1568,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\wtime.inl"
0.007141,0.002351,713,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstddef"
0.007121,0.007121,1824,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\crtwrn.h"
0.005951,0.005951,1851,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\initializer_list"
0.004789,0.004789,1867,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stddef.h"
0.004004,0.004004,1340,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\use_ansi.h"
0.001362,0.001362,300,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\climits"
