"Total seconds","Self seconds","File size","File path"
14.795406,0.086016,11949,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\set"
14.709390,0.513479,68522,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xtree"
13.538441,0.209346,28214,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xmemory"
13.329094,0.207395,26045,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xmemory0"
4.493665,0.355079,34433,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\limits"
3.171330,0.015515,1413,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstdlib"
3.035293,0.695015,95857,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xutility"
2.429277,0.017591,1920,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cwchar"
2.411686,2.308793,81194,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\wchar.h"
2.340278,0.103010,12953,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\utility"
1.673343,0.119939,23751,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\yvals.h"
1.638524,0.210918,23774,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\iosfwd"
1.485733,0.426004,108594,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\crtdefs.h"
1.482472,1.468870,53607,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdlib.h"
1.460509,0.050632,4333,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cmath"
1.459535,0.627373,62813,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\intrin.h"
1.207860,0.016799,1901,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstdio"
1.191061,1.191061,53217,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdio.h"
1.033105,0.981104,214619,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\sal.h"
1.023205,1.023205,44558,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\math.h"
0.930870,0.029674,3439,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\new"
0.901196,0.105193,13054,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\exception"
0.708566,0.300709,88486,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\immintrin.h"
0.707564,0.707564,32391,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\string.h"
0.657471,0.040956,6210,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdexcept"
0.616515,0.616515,75778,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xstring"
0.598744,0.332436,42381,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\type_traits"
0.407857,0.008435,2400,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\wmmintrin.h"
