"Total seconds","Self seconds","File size","File path"
18.333733,0.148387,19435,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\sstream"
18.185347,0.173866,17391,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\string"
18.011481,0.149788,19034,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\iterator"
17.861693,0.295118,34401,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\istream"
17.566575,0.288931,28655,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\ostream"
17.277644,0.071256,9614,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\ios"
17.206388,0.502535,51031,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xlocnum"
10.037370,0.141701,18250,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\streambuf"
9.895669,0.194878,19283,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xiosbase"
9.533842,0.705912,92754,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xlocale"
6.967282,0.046966,6210,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdexcept"
6.544469,0.670079,75778,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xstring"
5.874390,0.239806,26045,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xmemory0"
2.045619,0.768270,95857,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xutility"
2.034513,0.017067,1901,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstdio"
2.017445,1.938914,53217,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdio.h"
1.873731,0.491050,34433,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\limits"
1.679941,0.004695,300,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\climits"
1.657966,0.141154,23751,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\yvals.h"
1.641903,0.662831,62813,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\intrin.h"
1.515007,0.052817,4333,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cmath"
1.469439,0.514188,108594,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\crtdefs.h"
1.437023,0.013040,1413,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstdlib"
1.423983,1.423983,53607,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdlib.h"
1.352618,0.010264,1013,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstring"
1.342355,1.342355,32391,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\string.h"
1.277349,0.138222,12953,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\utility"
1.244954,0.022259,1920,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cwchar"
1.222695,1.207163,81194,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\wchar.h"
1.051075,1.051075,44558,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\math.h"
0.930706,0.884222,214619,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\sal.h"
0.848771,0.374610,88486,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\immintrin.h"
0.679211,0.388157,42381,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\type_traits"
0.474161,0.010585,2400,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\wmmintrin.h"
0.463576,0.028045,4090,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\nmmintrin.h"
0.459915,0.242483,23774,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\iosfwd"
