"Total seconds","Self seconds","File size","File path"
13.376909,0.170303,17391,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\string"
13.206606,0.141576,19034,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\iterator"
13.065031,0.296194,34401,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\istream"
12.768836,0.282603,28655,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\ostream"
12.486234,0.075876,9614,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\ios"
12.410358,0.436730,51031,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xlocnum"
7.137910,0.146056,18250,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\streambuf"
6.991854,0.173470,19283,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xiosbase"
6.649788,0.692809,92754,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xlocale"
4.617261,0.041376,6210,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdexcept"
4.345016,0.416105,75778,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xstring"
3.928911,0.174176,26045,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xmemory0"
1.506713,0.517841,95857,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xutility"
1.353831,0.002611,300,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\climits"
1.346592,0.013147,1901,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstdio"
1.338991,0.101315,23751,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\yvals.h"
1.333444,1.280061,53217,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdio.h"
1.241465,0.346314,34433,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\limits"
1.197458,0.395038,108594,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\crtdefs.h"
1.138083,0.009488,1413,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstdlib"
1.128595,1.128595,53607,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdlib.h"
0.997212,0.033591,4333,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cmath"
