"Total seconds","Self seconds","File size","File path"
3.857320,0.011042,2124,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\typeindex"
3.846279,0.028312,7409,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\typeinfo"
2.801407,0.073588,14668,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xstddef"
2.536174,1.122538,53607,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stdlib.h"
1.400866,0.434819,108594,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\crtdefs.h"
0.943107,0.897491,214619,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\sal.h"
0.875107,0.875107,32391,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\string.h"
0.141454,0.075044,13054,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\exception"
0.135870,0.004257,713,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\cstddef"
0.124222,0.088563,23751,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\yvals.h"
0.052355,0.052355,11706,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\malloc.h"
0.046143,0.046143,9177,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xtr1common"
0.045616,0.045616,15721,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\ConcurrencySal.h"
0.030336,0.030336,8078,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\xkeycheck.h"
0.022940,0.022940,4377,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\vadefs.h"
0.014054,0.014054,2805,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\eh.h"
0.012770,0.012770,3544,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\limits.h"
0.009631,0.009631,1851,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\initializer_list"
0.007391,0.007391,1867,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\stddef.h"
0.005323,0.005323,1340,"C:\Program Files (x86)\Microsoft Visual Studio 12.0\VC\include\use_ansi.h"
