"Total seconds","Self seconds","File size","File path"
16.492543,0.075178,22632,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\codecvt"
16.417365,0.030570,8856,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\locale"
15.995581,0.069841,19964,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\string"
15.756068,0.110926,31379,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\istream"
15.645142,0.115248,28654,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\ostream"
15.529894,0.031471,9866,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\ios"
15.498424,0.207190,52470,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\xlocnum"
7.117141,0.057602,18652,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\streambuf"
7.059539,0.065846,19759,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\xiosbase"
6.920348,0.333773,91311,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\xlocale"
4.943545,0.022234,6046,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\stdexcept"
3.605007,0.462049,17839,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\cmath"
3.529124,0.746201,152215,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\xstring"
2.822264,0.017696,1773,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\cstdio"
2.804568,1.385235,82133,"C:\Program Files (x86)\Windows Kits\10\Include\10.0.16299.0\ucrt\stdio.h"
2.782923,0.175751,43520,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\xmemory0"
2.742620,0.025811,1921,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\cstdlib"
1.789407,1.019048,44914,"C:\Program Files (x86)\Windows Kits\10\Include\10.0.16299.0\ucrt\stdlib.h"
1.746822,0.003207,289,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\climits"
1.729919,0.157336,44474,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\yvals.h"
1.526115,0.012056,1369,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\crtdefs.h"
