"Total seconds","Self seconds","File size","File path"
5.390625,0.015625,9842,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Enterprise\VC\Tools\MSVC\14.16.27023\include\ios"
5.375000,0.140625,55513,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Enterprise\VC\Tools\MSVC\14.16.27023\include\xlocnum"
2.859375,0.031250,19176,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Enterprise\VC\Tools\MSVC\14.16.27023\include\streambuf"
2.828125,0.062500,19823,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Enterprise\VC\Tools\MSVC\14.16.27023\include\xiosbase"
2.718750,0.234375,92718,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Enterprise\VC\Tools\MSVC\14.16.27023\include\xlocale"
1.781250,0.015625,6106,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Enterprise\VC\Tools\MSVC\14.16.27023\include\stdexcept"
1.359375,0.406250,156656,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Enterprise\VC\Tools\MSVC\14.16.27023\include\xstring"
0.953125,0.093750,41342,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Enterprise\VC\Tools\MSVC\14.16.27023\include\xmemory0"
0.937500,0.156250,34406,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Enterprise\VC\Tools\MSVC\14.16.27023\include\cmath"
0.796875,0.421875,82323,"C:\Program Files (x86)\Windows Kits\10\Include\10.0.17763.0\ucrt\stdio.h"
0.796875,0.000000,2040,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Enterprise\VC\Tools\MSVC\14.16.27023\include\cstdio"
0.671875,0.000000,1988,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Enterprise\VC\Tools\MSVC\14.16.27023\include\cstdlib"
0.640625,0.031250,15705,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Enterprise\VC\Tools\MSVC\14.16.27023\include\yvals.h"
0.640625,0.000000,336,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Enterprise\VC\Tools\MSVC\14.16.27023\include\climits"
0.546875,0.031250,34866,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Enterprise\VC\Tools\MSVC\14.16.27023\include\yvals_core.h"
0.500000,0.000000,1678,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Enterprise\VC\Tools\MSVC\14.16.27023\include\crtdefs.h"
0.437500,0.250000,44117,"C:\Program Files (x86)\Windows Kits\10\Include\10.0.17763.0\ucrt\stdlib.h"
0.421875,0.281250,131467,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Enterprise\VC\Tools\MSVC\14.16.27023\include\xutility"
0.406250,0.093750,30232,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Enterprise\VC\Tools\MSVC\14.16.27023\include\limits"
0.406250,0.031250,12075,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Enterprise\VC\Tools\MSVC\14.16.27023\include\exception"
0.375000,0.359375,76183,"C:\Program Files (x86)\Windows Kits\10\Include\10.0.17763.0\ucrt\corecrt_wstdio.h"
0.343750,0.296875,79973,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Enterprise\VC\Tools\MSVC\14.16.27023\include\type_traits"
0.343750,0.140625,17501,"C:\Program Files (x86)\Windows Kits\10\Include\10.0.17763.0\ucrt\string.h"
0.343750,0.015625,8379,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Enterprise\VC\Tools\MSVC\14.16.27023\include\vcruntime.h"
0.343750,0.000000,1254,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Enterprise\VC\Tools\MSVC\14.16.27023\include\cstring"
0.328125,0.296875,213818,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Enterprise\VC\Tools\MSVC\14.16.27023\include\sal.h"
0.296875,0.062500,9359,"C:\Program Files (x86)\Windows Kits\10\Include\10.0.17763.0\ucrt\wchar.h"
0.296875,0.000000,2162,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Enterprise\VC\Tools\MSVC\14.16.27023\include\cwchar"
0.234375,0.234375,37990,"C:\Program Files (x86)\Windows Kits\10\Include\10.0.17763.0\ucrt\corecrt_math.h"
0.234375,0.203125,87797,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Enterprise\VC\Tools\MSVC\14.16.27023\include\memory"
0.234375,0.000000,505,"C:\Program Files (x86)\Windows Kits\10\Include\10.0.17763.0\ucrt\math.h"
0.156250,0.156250,20250,"C:\Program Files (x86)\Windows Kits\10\Include\10.0.17763.0\ucrt\corecrt_wstring.h"
