"Total seconds","Self seconds","File size","File path"
16.649428,1.378526,160284,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\regex"
9.681281,0.578989,141855,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\algorithm"
9.102292,0.030733,10544,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\xmemory"
9.071559,0.223069,43520,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\xmemory0"
3.780139,0.118013,20536,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\iterator"
3.767263,0.837336,129309,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\xutility"
3.662125,0.184970,31379,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\istream"
3.477155,0.186989,28654,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\ostream"
3.290167,0.049193,9866,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\ios"
3.240973,0.309289,52470,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\xlocnum"
2.931685,0.108408,18652,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\streambuf"
2.929928,0.159703,20625,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\utility"
2.823277,0.108737,19759,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\xiosbase"
2.770225,0.256935,21597,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\iosfwd"
2.596859,0.641178,91311,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\xlocale"
2.300088,0.192248,38556,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\limits"
1.688780,0.016980,1773,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\cstdio"
1.671800,1.671800,82133,"C:\Program Files (x86)\Windows Kits\10\Include\10.0.16299.0\ucrt\stdio.h"
1.634829,0.008111,1869,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\cwchar"
1.626718,0.125178,9247,"C:\Program Files (x86)\Windows Kits\10\Include\10.0.16299.0\ucrt\wchar.h"
1.509050,0.040455,6046,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\stdexcept"
1.468595,1.468595,152215,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\xstring"
1.316198,0.011202,1921,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\cstdlib"
1.078168,0.061527,8856,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\locale"
0.870361,0.516424,44914,"C:\Program Files (x86)\Windows Kits\10\Include\10.0.16299.0\ucrt\stdlib.h"
0.800911,0.006406,1880,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\cstdint"
0.783918,0.078638,44474,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\yvals.h"
0.731314,0.731314,96816,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\vector"
0.718406,0.718406,76183,"C:\Program Files (x86)\Windows Kits\10\Include\10.0.16299.0\ucrt\corecrt_wstdio.h"
0.682718,0.004426,1369,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\crtdefs.h"
0.661817,0.008653,961,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\cstring"
0.653164,0.586005,17564,"C:\Program Files (x86)\Windows Kits\10\Include\10.0.16299.0\ucrt\string.h"
0.583895,0.005979,1421,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\new"
0.556590,0.051059,12000,"C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\VC\Tools\MSVC\14.13.26128\include\exception"
