"Total seconds","Self seconds","File size","File path"
4.297157,0.056519,13859,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\bitset"
4.240638,0.061899,21940,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\string"
4.178739,0.118947,32764,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\istream"
4.059792,0.113477,29066,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\ostream"
3.946315,0.028177,8432,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\ios"
3.918138,0.223864,51309,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocnum"
2.553342,0.057670,16486,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\streambuf"
2.495671,0.069578,19927,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xiosbase"
2.423748,0.297196,78264,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocale"
1.590163,0.022347,6473,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdexcept"
1.489717,0.284994,67902,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xstring"
1.204723,0.028327,7306,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xmemory"
1.166103,0.533383,128561,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xutility"
0.546194,0.001740,336,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\climits"
0.545563,0.030529,7226,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\utility"
0.536793,0.051800,21523,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\yvals.h"
0.515034,0.117054,24922,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\iosfwd"
0.479937,0.196559,97323,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdefs.h"
0.453906,0.449195,75914,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\wchar.h"
0.316355,0.004743,1643,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstdio"
0.311612,0.284628,48480,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdio.h"
0.299038,0.029422,7951,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocinfo"
0.291741,0.006205,1607,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cwchar"
0.278383,0.003026,1053,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstdlib"
0.275358,0.269777,46356,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdlib.h"
0.272043,0.272043,119828,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\sal.h"
0.269615,0.022231,4602,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocinfo.h"
0.210494,0.002624,951,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstring"
0.207870,0.207870,27336,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\string.h"
0.193395,0.193395,38655,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdbg.h"
0.078099,0.028319,10504,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\exception"
0.067207,0.067207,19373,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\ctype.h"
0.027025,0.027025,10397,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\malloc.h"
0.026984,0.018549,3913,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\swprintf.inl"
0.019769,0.019769,4032,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\vadefs.h"
0.015529,0.009637,2726,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xstddef"
0.014898,0.014898,5157,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\typeinfo"
0.013241,0.013241,4511,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\limits.h"
0.011959,0.011959,4731,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xdebug"
0.011807,0.011807,3722,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\locale.h"
0.010293,0.010293,3332,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\new"
0.007225,0.007225,2989,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\eh.h"
0.005893,0.001708,592,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstddef"
0.005055,0.005055,3982,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\use_ansi.h"
0.004711,0.004711,1381,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\wtime.inl"
0.004185,0.004185,1607,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stddef.h"
0.002345,0.002345,899,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\share.h"
