"Total seconds","Self seconds","File size","File path"
5.476105,0.100860,30239,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\fstream"
5.375245,0.124083,32764,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\istream"
5.251162,0.118689,29066,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\ostream"
5.132473,0.029568,8432,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\ios"
5.102906,0.243850,51309,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocnum"
2.878818,0.057439,16486,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\streambuf"
2.821379,0.069743,19927,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xiosbase"
2.749324,0.294699,78264,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocale"
1.796010,0.022376,6473,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdexcept"
1.662249,0.281935,67902,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xstring"
1.380314,0.028861,7306,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xmemory"
1.335138,0.546574,128561,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xutility"
0.953651,0.002914,336,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\climits"
0.937032,0.091139,21523,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\yvals.h"
0.837149,0.342848,97323,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdefs.h"
0.694882,0.034248,7226,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\utility"
0.660634,0.132722,24922,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\iosfwd"
0.572443,0.008408,1643,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstdio"
0.569304,0.563620,75914,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\wchar.h"
0.564034,0.514224,48480,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdio.h"
0.473241,0.473241,119828,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\sal.h"
0.454144,0.005345,1053,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstdlib"
0.448799,0.439014,46356,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdlib.h"
0.398249,0.007380,1607,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cwchar"
0.319628,0.004015,951,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstring"
0.315613,0.315613,27336,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\string.h"
0.312768,0.031042,7951,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocinfo"
0.281726,0.023365,4602,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocinfo.h"
0.223344,0.223344,38655,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdbg.h"
0.111385,0.040994,10504,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\exception"
0.067749,0.067749,19373,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\ctype.h"
0.049811,0.034518,3913,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\swprintf.inl"
0.038382,0.038382,10397,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\malloc.h"
0.036352,0.036352,4032,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\vadefs.h"
0.023490,0.023490,4511,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\limits.h"
0.022011,0.014371,2726,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xstddef"
0.016316,0.016316,3332,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\new"
0.014433,0.014433,5157,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\typeinfo"
0.012177,0.012177,3722,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\locale.h"
0.011786,0.011786,4731,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xdebug"
0.009998,0.009998,2989,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\eh.h"
0.008744,0.008744,3982,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\use_ansi.h"
0.007640,0.002195,592,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstddef"
0.005684,0.005684,1381,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\wtime.inl"
0.005445,0.005445,1607,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stddef.h"
0.002312,0.002312,899,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\share.h"
