"Total seconds","Self seconds","File size","File path"
6.128053,0.019608,2907,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\iomanip"
6.108445,0.303824,32764,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\istream"
5.804621,0.270591,29066,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\ostream"
5.534030,0.063513,8432,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\ios"
5.470517,0.500065,51309,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocnum"
3.804064,0.117595,16486,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\streambuf"
3.686470,0.147774,19927,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xiosbase"
3.533668,0.616832,78264,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocale"
1.993600,0.042699,6473,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdexcept"
1.877139,0.575457,67902,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xstring"
1.301682,0.058746,7306,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xmemory"
1.232221,0.590138,128561,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xutility"
0.679820,0.675266,75914,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\wchar.h"
0.660726,0.065052,7951,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocinfo"
0.595673,0.048251,4602,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocinfo.h"
0.556010,0.028466,7226,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\utility"
0.527544,0.118219,24922,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\iosfwd"
0.517426,0.001465,336,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\climits"
0.508365,0.049626,21523,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\yvals.h"
0.452981,0.192017,97323,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdefs.h"
0.349718,0.004941,1643,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstdio"
0.344777,0.312339,48480,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdio.h"
0.305585,0.006586,1607,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cwchar"
0.299244,0.003244,1053,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstdlib"
0.296000,0.289916,46356,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdlib.h"
0.249892,0.249892,119828,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\sal.h"
0.208004,0.002681,951,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstring"
0.205323,0.205323,27336,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\string.h"
0.189813,0.189813,38655,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdbg.h"
0.141462,0.141462,19373,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\ctype.h"
0.073763,0.026840,10504,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\exception"
0.032438,0.023054,3913,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\swprintf.inl"
0.029561,0.029561,5157,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\typeinfo"
0.025819,0.025819,10397,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\malloc.h"
0.025140,0.025140,3722,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\locale.h"
0.024945,0.024945,4731,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xdebug"
0.020455,0.020455,4032,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\vadefs.h"
0.014306,0.008877,2726,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xstddef"
0.013679,0.013679,4511,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\limits.h"
0.010715,0.010715,3332,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\new"
0.006797,0.006797,2989,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\eh.h"
0.005759,0.005759,3982,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\use_ansi.h"
0.005430,0.001554,592,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstddef"
0.005027,0.005027,899,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\share.h"
0.004554,0.004554,1381,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\wtime.inl"
0.003876,0.003876,1607,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stddef.h"
