"Total seconds","Self seconds","File size","File path"
7.034261,0.007923,2101,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\iostream"
7.026337,0.146575,32764,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\istream"
6.879762,0.131885,29066,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\ostream"
6.747877,0.032414,8432,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\ios"
6.715462,0.257444,51309,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocnum"
4.069794,0.068225,16486,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\streambuf"
4.001569,0.080411,19927,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xiosbase"
3.918613,0.344401,78264,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocale"
2.703882,0.030525,6473,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdexcept"
2.498779,0.361307,67902,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xstring"
2.137471,0.038323,7306,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xmemory"
2.073987,0.828087,128561,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xutility"
1.207829,0.003158,336,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\climits"
1.188187,0.115705,21523,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\yvals.h"
1.093285,0.054622,7226,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\utility"
1.061716,0.460467,97323,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdefs.h"
1.038663,0.221905,24922,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\iosfwd"
0.833827,0.824745,75914,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\wchar.h"
0.653670,0.009112,1643,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstdio"
0.644558,0.592052,48480,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdio.h"
0.615979,0.010905,1607,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cwchar"
0.574921,0.574921,119828,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\sal.h"
0.526725,0.005589,1053,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstdlib"
0.521136,0.509022,46356,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdlib.h"
0.438722,0.005618,951,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstring"
0.433104,0.433104,27336,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\string.h"
0.396745,0.038435,7951,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocinfo"
0.358310,0.029185,4602,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocinfo.h"
0.353394,0.353394,38655,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdbg.h"
0.174579,0.064434,10504,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\exception"
0.085179,0.085179,19373,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\ctype.h"
0.060324,0.060324,10397,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\malloc.h"
0.052506,0.036390,3913,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\swprintf.inl"
0.042444,0.042444,4032,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\vadefs.h"
0.034140,0.021571,2726,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xstddef"
0.028598,0.028598,4511,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\limits.h"
0.025161,0.025161,3332,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\new"
0.019114,0.019114,5157,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\typeinfo"
0.015749,0.015749,4731,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xdebug"
0.015680,0.015680,2989,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\eh.h"
0.015193,0.015193,3722,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\locale.h"
0.012569,0.003557,592,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstddef"
0.010766,0.010766,3982,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\use_ansi.h"
0.009082,0.009082,1381,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\wtime.inl"
0.009013,0.009013,1607,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stddef.h"
0.002545,0.002545,899,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\share.h"
