"Total seconds","Self seconds","File size","File path"
33.245733,0.257791,36850,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\list"
32.414634,0.183576,35116,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\functional"
16.510820,0.104231,1043,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xfwrap"
16.406589,4.292096,8154,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xfwrap1"
13.654522,0.083728,11955,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xrefwrap"
11.623618,0.043763,3545,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xawrap"
11.579856,0.178774,2348,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xawrap0"
11.401082,0.354826,2010,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xawrap1"
11.046256,7.190787,4583,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xawrap2"
4.826708,4.826708,13792,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxbind1"
2.702762,2.702762,1122,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxbind0"
2.565591,0.293135,67902,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xstring"
2.272456,0.031312,7306,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xmemory"
2.120855,0.613113,128561,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xutility"
1.768197,1.768197,6744,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxrefwrap"
1.705682,1.705682,12751,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxresult"
1.407440,0.030980,7226,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\utility"
1.381316,0.006020,1053,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstdlib"
1.376460,0.126578,24922,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\iosfwd"
1.294786,1.294786,9170,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxfunction"
1.152707,1.152707,575,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxcallwrap"
0.902285,0.087282,21523,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\yvals.h"
0.899492,0.899492,7964,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxmem_fn"
0.806439,0.335871,97323,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdefs.h"
0.618000,0.618000,801,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxcallobj"
0.567908,0.567908,2346,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxpmfcaller"
0.540092,0.386021,50164,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\memory"
0.502961,0.006532,1643,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstdio"
0.496429,0.456714,48480,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdio.h"
0.473012,0.459885,46356,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdlib.h"
0.450328,0.450328,119828,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\sal.h"
0.344780,0.006541,1607,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cwchar"
0.338239,0.333440,75914,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\wchar.h"
0.289048,0.003677,951,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstring"
0.285371,0.285371,27336,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\string.h"
0.261657,0.261657,543,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxcallfun"
0.204051,0.204051,38655,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdbg.h"
0.172061,0.172061,460,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xxcallpmf"
0.133058,0.133058,14519,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\iterator"
0.106888,0.036682,10504,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\exception"
0.048802,0.048802,8025,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xtr1common"
0.039715,0.027767,3913,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\swprintf.inl"
0.038195,0.038195,5157,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\typeinfo"
0.036317,0.036317,10397,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\malloc.h"
0.033216,0.033216,6473,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdexcept"
0.032188,0.032188,4032,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\vadefs.h"
0.023100,0.014576,2726,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xstddef"
0.021095,0.021095,4511,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\limits.h"
0.013402,0.013402,3332,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\new"
0.010790,0.010790,2989,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\eh.h"
0.009344,0.001376,336,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\climits"
0.008564,0.008564,3982,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\use_ansi.h"
0.008524,0.002482,592,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstddef"
0.006042,0.006042,1607,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stddef.h"
0.004799,0.004799,1381,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\wtime.inl"
