"Total seconds","Self seconds","File size","File path"
5.681918,0.035634,6473,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdexcept"
4.370988,0.423123,67902,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xstring"
3.947864,0.046477,7306,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xmemory"
3.260541,0.856974,128561,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xutility"
2.241826,0.048582,7226,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\utility"
2.193244,0.197712,24922,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\iosfwd"
1.275296,0.050735,10504,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\exception"
1.149442,0.018789,2726,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xstddef"
1.118960,0.096857,21523,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\yvals.h"
1.012603,0.425912,97323,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdefs.h"
0.816559,0.011468,1643,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstdio"
0.805091,0.736443,48480,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdio.h"
0.617965,0.006964,1053,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstdlib"
0.611001,0.596491,46356,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdlib.h"
0.562118,0.562118,119828,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\sal.h"
0.539262,0.009905,1607,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cwchar"
0.529356,0.519770,75914,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\wchar.h"
0.463655,0.006009,951,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstring"
0.457647,0.457647,27336,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\string.h"
0.321878,0.321878,38655,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdbg.h"
0.068649,0.048335,3913,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\swprintf.inl"
0.062903,0.062903,10397,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\malloc.h"
0.044887,0.044887,4032,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\vadefs.h"
0.028133,0.028133,4511,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\limits.h"
0.022881,0.022881,3332,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\new"
0.015919,0.002297,336,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\climits"
0.012216,0.012216,2989,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\eh.h"
0.011693,0.002872,592,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstddef"
0.009587,0.009587,1381,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\wtime.inl"
0.009501,0.009501,3982,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\use_ansi.h"
0.008820,0.008820,1607,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stddef.h"
