"Total seconds","Self seconds","File size","File path"
4.833602,0.115851,16486,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\streambuf"
4.717751,0.141110,19927,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xiosbase"
4.571547,0.463473,78264,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocale"
2.674420,0.018865,6473,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdexcept"
2.539141,0.364265,67902,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xstring"
2.174876,0.027238,7306,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xmemory"
1.737736,0.530104,128561,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xutility"
1.112527,0.033373,7226,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\utility"
1.079154,0.137841,24922,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\iosfwd"
0.844797,0.002313,336,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\climits"
0.831633,0.070993,21523,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\yvals.h"
0.753734,0.309091,97323,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdefs.h"
0.516674,0.511059,75914,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\wchar.h"
0.447459,0.006960,1643,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstdio"
0.440498,0.398390,48480,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdio.h"
0.425800,0.425800,119828,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\sal.h"
0.395369,0.004413,1053,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstdlib"
0.390956,0.382997,46356,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdlib.h"
0.368995,0.007207,1607,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cwchar"
0.297792,0.003820,951,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstring"
0.293972,0.293972,27336,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\string.h"
0.267663,0.025386,7951,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocinfo"
0.242277,0.019118,4602,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xlocinfo.h"
0.219964,0.219964,38655,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdbg.h"
0.116414,0.037568,10504,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\exception"
0.057765,0.057765,19373,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\ctype.h"
0.047659,0.047659,10397,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\malloc.h"
0.042108,0.028562,3913,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\swprintf.inl"
0.032389,0.032389,4032,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\vadefs.h"
0.021925,0.013094,2726,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xstddef"
0.018809,0.018809,4511,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\limits.h"
0.014533,0.014533,3332,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\new"
0.012638,0.012638,5157,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\typeinfo"
0.010763,0.010763,4731,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xdebug"
0.010509,0.010509,3722,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\locale.h"
0.009262,0.009262,2989,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\eh.h"
0.008832,0.002142,592,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstddef"
0.006907,0.006907,3982,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\use_ansi.h"
0.006690,0.006690,1607,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stddef.h"
0.005615,0.005615,1381,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\wtime.inl"
0.005093,0.005093,899,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\share.h"
