"Total seconds","Self seconds","File size","File path"
6.501345,0.541853,64043,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\vector"
5.390152,0.405268,50164,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\memory"
4.193927,0.122935,14519,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\iterator"
4.070992,0.924302,128561,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xutility"
2.343798,0.054195,7226,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\utility"
2.289602,0.211810,24922,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\iosfwd"
0.764278,0.049385,7306,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xmemory"
0.746841,0.010581,1643,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstdio"
0.736261,0.674421,48480,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdio.h"
0.669018,0.010314,1607,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cwchar"
0.658704,0.649297,75914,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\wchar.h"
0.643581,0.002546,336,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\climits"
0.622669,0.061520,21523,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\yvals.h"
0.569339,0.042343,6473,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdexcept"
0.555058,0.241305,97323,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdefs.h"
0.553628,0.007656,1053,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstdlib"
0.545972,0.532635,46356,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stdlib.h"
0.526996,0.526996,67902,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xstring"
0.424985,0.005654,951,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstring"
0.419331,0.419331,27336,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\string.h"
0.360995,0.360995,38655,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\crtdbg.h"
0.299374,0.299374,119828,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\sal.h"
0.138045,0.062741,10504,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\exception"
0.061839,0.042805,3913,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\swprintf.inl"
0.059221,0.059221,10397,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\malloc.h"
0.035264,0.021030,2726,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xstddef"
0.033414,0.033414,4032,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\vadefs.h"
0.031704,0.031704,4511,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\limits.h"
0.026679,0.026679,5157,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\typeinfo"
0.023221,0.023221,3332,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\new"
0.016082,0.016082,2989,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\eh.h"
0.014234,0.003559,592,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\cstddef"
0.010674,0.010674,1607,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\stddef.h"
0.009406,0.009406,1381,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\wtime.inl"
0.006091,0.006091,3982,"C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\use_ansi.h"
