"Total seconds","Self seconds","File size","File path"
0.468750,0.062500,44874,"/usr/include/c++/5/cmath"
0.234375,0.015625,16476,"/usr/include/math.h"
0.156250,0.156250,11708,"/usr/include/x86_64-linux-gnu/bits/mathcalls.h"
0.140625,0.109375,51064,"/usr/include/x86_64-linux-gnu/c++/5/bits/c++config.h"
0.062500,0.046875,12985,"/usr/include/features.h"
0.062500,0.015625,2937,"/usr/include/endian.h"
0.046875,0.015625,5880,"/usr/include/c++/5/ext/type_traits.h"
0.046875,0.015625,10278,"/usr/include/c++/5/bits/cpp_type_traits.h"
0.046875,0.000000,1840,"/usr/include/x86_64-linux-gnu/bits/huge_val.h"
0.031250,0.000000,1783,"/usr/include/x86_64-linux-gnu/c++/5/bits/os_defines.h"
0.031250,0.000000,5664,"/usr/include/x86_64-linux-gnu/bits/byteswap.h"
0.015625,0.015625,14503,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.015625,0.015625,1731,"/usr/include/x86_64-linux-gnu/bits/byteswap-16.h"
0.015625,0.000000,7563,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.015625,0.000000,1567,"/usr/include/x86_64-linux-gnu/bits/nan.h"
0.000000,0.000000,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000000,0.000000,1333,"/usr/include/x86_64-linux-gnu/c++/5/bits/cpu_defines.h"
0.000000,0.000000,327,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000000,0.000000,3230,"/usr/include/x86_64-linux-gnu/bits/typesizes.h"
0.000000,0.000000,2180,"/usr/include/x86_64-linux-gnu/bits/mathdef.h"
0.000000,0.000000,1061,"/usr/include/x86_64-linux-gnu/bits/inf.h"
0.000000,0.000000,1574,"/usr/include/x86_64-linux-gnu/bits/huge_vall.h"
0.000000,0.000000,1800,"/usr/include/x86_64-linux-gnu/bits/huge_valf.h"
0.000000,0.000000,176,"/usr/include/x86_64-linux-gnu/bits/endian.h"
0.000000,0.000000,2153,"/usr/include/stdc-predef.h"
